CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
ICE FISCALE IB96NREHZLQUPCOF , ATI ANAGRAFICI <START:Name> LIBERATA GIANPIERA <END> 27111946 F CASTELLEONE  B T CODICE FISCALE 
ICE FISCALE JUXPIWA8  9TLR   , ATI ANAGRAFICI <START:Name> LIBERATE GALEANA <END> 04 11 1948 F CASTELLEONE DI SUASA  B L CODICE FISCALE 
ICE FISCALE MRSGJ6AH 95D PZI , ATI ANAGRAFICI <START:Name> LIBERATORE GELMINA <END> 1908 1931 M CASTELLERO  B N CODICE FISCALE 
ICE FISCALE TUECJ 6A1FQZDWBN , ATI ANAGRAFICI <START:Name> LIBERATORI GENOVINA <END> 9 1 8 2 2008 M CASTELLETTO CERVO  B G CODICE FISCALE 
ICE FISCALE 8J MBLGDHT XFUWS , ATI ANAGRAFICI <START:Name> LIBERTO GEROLAMA <END> 1 7 7 0 1 4 9 O  F CASTELLETTO D'ERRO  B I CODICE FISCALE 
ICE FISCALE HPGSFIYQKO9 LCDA , ATI ANAGRAFICI <START:Name> LIBONALI GIACOMA <END> O9O91901 M CASTELLETTO D'ORBA  B O CODICE FISCALE 
ICE FISCALE BE A1DXZK6G  N5  , ATI ANAGRAFICI <START:Name> LIBORIO GIGETTA <END> 067O 1910 F CASTELLETTO DI BRANDUZZO  B Z CODICE FISCALE 
ICE FISCALE GV58OHU  Q9ZAP6N , ATI ANAGRAFICI <START:Name> LIBUZZI GALIANA <END> 6239O5 4  70O M CASTELLETTO MERLI  B S CODICE FISCALE 
ICE FISCALE  PGLEZ 6SWQ5 RMF , ATI ANAGRAFICI <START:Name> LICADIA GELMIRA <END> 16111982 M CASTELLETTO MOLINA  B R CODICE FISCALE 
ICE FISCALE DCISZR HFB 1XOT  , ATI ANAGRAFICI <START:Name> LICALA GENTILA <END> 29 05 1985 F CASTELLETTO MONFERRATO  C A CODICE FISCALE 
ICE FISCALE 8  AESIHDY V 1BT , ATI ANAGRAFICI <START:Name> LICARI GEROLAMINA <END> 1205 1945 F CASTELLETTO SOPRA TICINO  C L CODICE FISCALE 
ICE FISCALE B  68WVRXKIMDG   , ATI ANAGRAFICI <START:Name> LICASTRI GIACOMETTA <END> 5 0 O O 2018 F CASTELLETTO STURA  C B CODICE FISCALE 
ICE FISCALE   WPESF6KOJNRL D , ATI ANAGRAFICI <START:Name> LICATA GIGIA <END> 4 0 2 0 2 7 1 1  F CASTELLETTO UZZONE  C I CODICE FISCALE 
ICE FISCALE 8LQTUCYBZ5ER MP1 , ATI ANAGRAFICI <START:Name> LICCARDI GALILEA <END> 18901909 M CASTELLI  C E CODICE FISCALE 
ICE FISCALE TCS 5UIPWJH GN O , ATI ANAGRAFICI <START:Name> LICCIARDELLI GELSA <END> 7598 1900 F CASTELLI CALEPIO  C T CODICE FISCALE 
ICE FISCALE 6MCRQGBZF5PIEJ   , ATI ANAGRAFICI <START:Name> LICCO GENTILE <END> 36 58901O 2 F CASTELLINA IN CHIANTI  C Z CODICE FISCALE 
ICE FISCALE IMB K6NP98OUE  X , ATI ANAGRAFICI <START:Name> LICENZIATO GEROLIMA <END> 02031941 M CASTELLINA MARITTIMA  C H CODICE FISCALE 
ICE FISCALE E  DBZK Q5N 8 IM , ATI ANAGRAFICI <START:Name> LICIA GIACOMINA <END> 01 11 1916 M CASTELLINALDO D'ALBA  C O CODICE FISCALE 
ICE FISCALE  5UKS PWJHC1LGIB , ATI ANAGRAFICI <START:Name> LICO GIGINA <END> 2608 1918 F CASTELLINO DEL BIFERNO  C S CODICE FISCALE 
ICE FISCALE HN U5 6QPMOJ  WF , ATI ANAGRAFICI <START:Name> LICOCHIO GALLIA <END> 2 7 4 6 2003 F CASTELLINO TANARO  C R CODICE FISCALE 
ICE FISCALE MH BCL AWXUYGN91 , ATI ANAGRAFICI <START:Name> LICOMBRA GELSINA <END> 1 6 O 0 1 4 3 0  M CASTELLIRI  K R CODICE FISCALE 
ICE FISCALE BAK9MZESFG HRPDL , ATI ANAGRAFICI <START:Name> LICUDI GENTILIA <END> 72361902 F CASTELLO CABIAGLIO  C N CODICE FISCALE 
ICE FISCALE G9L  DK8NUYBXCWI , ATI ANAGRAFICI <START:Name> LIETO GEROLOMINA <END> 6O08 1918 F CASTELLO D'AGOGNA  E N CODICE FISCALE 
ICE FISCALE LQKNDE5TY IOWB81 , ATI ANAGRAFICI <START:Name> LIGABUE GIADA <END> 10O685O947   F CASTELLO D'ARGILE  F M CODICE FISCALE 
ICE FISCALE 1Q9ADYOIPUH 6GLW , ATI ANAGRAFICI <START:Name> LIGGIO GIGLIA <END> 23091923 F CASTELLO DEL MATESE  F E CODICE FISCALE 
ICE FISCALE   EUSW6FTGA MD X , ATI ANAGRAFICI <START:Name> LIGNAIGO GALLIANA <END> 30 05 1916 F CASTELLO DELL'ACQUA  F I CODICE FISCALE 
ICE FISCALE 1MU W8TDXK65 YHG , ATI ANAGRAFICI <START:Name> LIGNAROLI GELSOMINA <END> 1106 1907 F CASTELLO DI ANNONE  F G CODICE FISCALE 
ICE FISCALE  ZLU5NWQ RXYMPDF , ATI ANAGRAFICI <START:Name> LIGORETTI GENTILINA <END> 4 O 9 0 2018 M CASTELLO DI BRIANZA  F C CODICE FISCALE 
ICE FISCALE KMGY UPC A5WZRN8 , ATI ANAGRAFICI <START:Name> LILLO GEROMINA <END> O 3 7 3 9 4 O 0  M CASTELLO DI CISTERNA  F R CODICE FISCALE 
ICE FISCALE T6 QK S W 9A 8EU , ATI ANAGRAFICI <START:Name> LILLUZIO GIAMPAOLA <END> 32O01918 M CASTELLO DI GODEGO  G E CODICE FISCALE 
ICE FISCALE K YQJFW8NTL1EV5C , ATI ANAGRAFICI <START:Name> LIMA GIGLIANA <END> 6843 1910 F CASTELLO TESINO  G O CODICE FISCALE 
ICE FISCALE Z  GTNU HPVXARFE , ATI ANAGRAFICI <START:Name> LIMANDRI GANDOLFA <END> 0985   3 26O M CASTELLO-MOLINA DI FIEMME  G R CODICE FISCALE 
ICE FISCALE  D19PHSJO5 QAEIW , ATI ANAGRAFICI <START:Name> LIMANETTI GELTRUDE <END> 17081923 M CASTELLUCCHIO  I M CODICE FISCALE 
ICE FISCALE OH DIKMX TJ89VCS , ATI ANAGRAFICI <START:Name> LIMONCELLI GENUARIA <END> 06 07 1944 F CASTELLUCCIO DEI SAURI  I S CODICE FISCALE 
ICE FISCALE RYV15QXPNCHZO8SK , ATI ANAGRAFICI <START:Name> LIMONI GERONIMA <END> 1008 1952 M CASTELLUCCIO INFERIORE  S P CODICE FISCALE 
ICE FISCALE B QNS UCRMYLG X5 , ATI ANAGRAFICI <START:Name> LIMOSINI GIAMPIERA <END> 0 O 4 9 2003 M CASTELLUCCIO SUPERIORE  A Q CODICE FISCALE 
ICE FISCALE REQ HGANZOTF KMP , ATI ANAGRAFICI <START:Name> LINA GIGLIANTE <END> 2 0 4 9 0 8 6 7  M CASTELLUCCIO VALMAGGIORE  L T CODICE FISCALE 
ICE FISCALE DPRSJZUWA19F QNB , ATI ANAGRAFICI <START:Name> LINARI GARDENIA <END> 9O0O1909 M CASTELMAGNO  L E CODICE FISCALE 
ICE FISCALE ASQNMH GE8UB FYP , ATI ANAGRAFICI <START:Name> LINCIO GEMELLA <END> 92OO 1904 F CASTELMARTE  L C CODICE FISCALE 
ICE FISCALE NRW BI ES  LDZQ5 , ATI ANAGRAFICI <START:Name> LINE GENUINA <END> 8 1 463O 0O F CASTELMASSA  L I CODICE FISCALE 
ICE FISCALE OPJT I GHBQDXM Z , ATI ANAGRAFICI <START:Name> LINFANTE GERTRUDE <END> 14011981 F CASTELMAURO  L O CODICE FISCALE 
ICE FISCALE 6 SIPT9CXEOKLH1G , ATI ANAGRAFICI <START:Name> LINGUA GIANA <END> 11 11 1987 F CASTELMEZZANO  L U CODICE FISCALE 
ICE FISCALE  UHXV F6B QY N I , ATI ANAGRAFICI <START:Name> LINGUADIVACCA GIGLIETTA <END> 2101 1963 F CASTELMOLA  M C CODICE FISCALE 
ICE FISCALE   CD VRW6YAFQIUO , ATI ANAGRAFICI <START:Name> LINIMO GARDINA <END> 0 1 0 3 2018 M CASTELNOVETTO  M N CODICE FISCALE 
ICE FISCALE 95LM EJUVOF T1I  , ATI ANAGRAFICI <START:Name> LINIZERI GEMILIANA <END> 8 1 0 5 1 9 4 7  F CASTELNOVO BARIANO  M S CODICE FISCALE 
ICE FISCALE    RDHLWG ZQAIBU , ATI ANAGRAFICI <START:Name> LINIZZI GENUNZIA <END> 10591901 M CASTELNOVO DEL FRIULI  M T CODICE FISCALE 
ICE FISCALE PWU9JFG8ZLCANM   , ATI ANAGRAFICI <START:Name> LINSALATA GERVASA <END> 3O42 1919 F CASTELNOVO DI SOTTO  V S CODICE FISCALE 
ICE FISCALE 6H QVF 8JW5EKOUZ , ATI ANAGRAFICI <START:Name> LIOMITLI GIANCARLA <END> 8O0  631  425 M CASTELNOVO NE' MONTI  M E CODICE FISCALE 
ICE FISCALE WQJR LSI5  UXMG8 , ATI ANAGRAFICI <START:Name> LIONDACA GIGLIO <END> 02051985 M CASTELNUOVO  M I CODICE FISCALE 
ICE FISCALE  ND8XS JQ16O PFR , ATI ANAGRAFICI <START:Name> LIONELLO GARIBALDINA <END> 10 10 1953 F CASTELNUOVO BELBO  M O CODICE FISCALE 
ICE FISCALE  C6LTR1H5 WUYFIZ , ATI ANAGRAFICI <START:Name> LIONI GEMINA <END> 2202 1959 F CASTELNUOVO BERARDENGA  M B CODICE FISCALE 
ICE FISCALE 5I SFD1RBV8 96JQ , ATI ANAGRAFICI <START:Name> LIOTTA GENZIANA <END> 7 8 O 3 2003 M CASTELNUOVO BOCCA D'ADDA  N A CODICE FISCALE 
ICE FISCALE  CY8MX 6R5 KV DU , ATI ANAGRAFICI <START:Name> LIPESARI GERVASIA <END> 5 O 7 1 8 0 O 5  F CASTELNUOVO BORMIDA  N O CODICE FISCALE 
ICE FISCALE BAUTXHMSJ 1KYO C , ATI ANAGRAFICI <START:Name> LIPOSITO GIANFRANCA <END> O7321904 F CASTELNUOVO BOZZENTE  N U CODICE FISCALE 
ICE FISCALE Z BCU6VTNWPEGH8J , ATI ANAGRAFICI <START:Name> LIPPI GIGLIOLA <END> O652 1909 F CASTELNUOVO CALCEA  O G CODICE FISCALE 
ICE FISCALE TKXO F IS5N6RPBM , ATI ANAGRAFICI <START:Name> LIRA GASPARA <END>  O 0  9173O F CASTELNUOVO CILENTO  O T CODICE FISCALE 
ICE FISCALE LKASOZ IVDEWXY6Q , ATI ANAGRAFICI <START:Name> LISBONA GEMINIANA <END> 19081965 M CASTELNUOVO DEL GARDA  O R CODICE FISCALE 
ICE FISCALE  BNAUXHRYPG68KMZ , ATI ANAGRAFICI <START:Name> LISIGNOLI GENZINA <END> 06 10 1998 F CASTELNUOVO DELLA DAUNIA  P D CODICE FISCALE 
ICE FISCALE BOKUE Z FYSAGXQL , ATI ANAGRAFICI <START:Name> LISOTTA GESSICA <END> 1108 1983 F CASTELNUOVO DI CEVA  P A CODICE FISCALE 
ICE FISCALE  R 5 GJ 6IBKSUTH , ATI ANAGRAFICI <START:Name> LISSARIO GIANFRANCESCA <END> 0 5 O 8 2016 M CASTELNUOVO DI CONZA  P R CODICE FISCALE 
ICE FISCALE B RZULAW91 86D H , ATI ANAGRAFICI <START:Name> LISSI GILBERTA <END> 2 8 O 6 1 4 9 3  M CASTELNUOVO DI FARFA  P V CODICE FISCALE 
ICE FISCALE  I UVK LHA JBWZC , ATI ANAGRAFICI <START:Name> LISTO GASPARINA <END> O9051900 M CASTELNUOVO DI GARFAGNANA  P G CODICE FISCALE 
ICE FISCALE BWVMONJ  RKP S X , ATI ANAGRAFICI <START:Name> LISTRO GEMMA <END> 0303 1903 F CASTELNUOVO DI PORTO  P U CODICE FISCALE 
ICE FISCALE JZ9KUBV L Y RGMI , ATI ANAGRAFICI <START:Name> LITA GEORGIA <END> 1 27 9O30 O  F CASTELNUOVO DI VAL DI CECINA  P E CODICE FISCALE 
ICE FISCALE  5CQJXDNZ IOVT 6 , ATI ANAGRAFICI <START:Name> LIUSI GESUALDA <END> 01061942 M CASTELNUOVO DON BOSCO  P C CODICE FISCALE 
ICE FISCALE 8  SZK DCRU EFPI , ATI ANAGRAFICI <START:Name> LIUZZA GIANGIORGIA <END> 24 03 1986 F CASTELNUOVO MAGRA  P I CODICE FISCALE 
ICE FISCALE 5 OSYWMLZKXI VCD , ATI ANAGRAFICI <START:Name> LIUZZO GILBERTINA <END> 0811 1911 F CASTELNUOVO NIGRA  P T CODICE FISCALE 
ICE FISCALE WIBVPJU9DN6KEHFS , ATI ANAGRAFICI <START:Name> LIVACARI GASPERA <END> 7 O 0 O 2009 F CASTELNUOVO PARANO  P N CODICE FISCALE 
ICE FISCALE QI 6JVLT F CNBK9 , ATI ANAGRAFICI <START:Name> LIVECCHI GEMMINA <END> O 3 1 8 5 7 3 9  M CASTELNUOVO RANGONE  P Z CODICE FISCALE 
ICE FISCALE GIF  SDR9Q  YJCX , ATI ANAGRAFICI <START:Name> LIVRIERI GEPPINA <END> 20811912 M CASTELNUOVO SCRIVIA  P O CODICE FISCALE 
ICE FISCALE  EKL5MCS WY6 8AJ , ATI ANAGRAFICI <START:Name> LIZZI GESUALDINA <END> 6444 1911 F CASTELPAGANO  R G CODICE FISCALE 
ICE FISCALE OH5 AGZMWREFBK8C , ATI ANAGRAFICI <START:Name> LO BASSO GIANLUCIA <END>  86 5O7 1 90 F CASTELPETROSO  R A CODICE FISCALE 
ICE FISCALE M8 B5DP Q XEHCKR , ATI ANAGRAFICI <START:Name> LO BELLO GILDA <END> 07091991 F CASTELPIZZUTO  R C CODICE FISCALE 
ICE FISCALE BQA5OCKLUE6ZMDTS , ATI ANAGRAFICI <START:Name> LO BIANCO GASPERINA <END> 07 11 1959 F CASTELPLANIO  R E CODICE FISCALE 
ICE FISCALE DOUPKQG9H 8V YR  , ATI ANAGRAFICI <START:Name> LO BRACCO GENEROSA <END> 3005 1921 F CASTELPOTO  R I CODICE FISCALE 
ICE FISCALE CDELYF AIQ UK  B , ATI ANAGRAFICI <START:Name> LO BRUTTO GERALDA <END> 8 8 6 9 2015 F CASTELRAIMONDO  R N CODICE FISCALE 
ICE FISCALE D B1GOZFR 9TXJK  , ATI ANAGRAFICI <START:Name> LO BUE GESUELA <END> O O 5 1 6 8 4 5  F CASTELROTTO  R M CODICE FISCALE 
ICE FISCALE LRYQ8GBE AMHSFDK , ATI ANAGRAFICI <START:Name> LO CASTO GIANLUIGIA <END> 87861911 F CASTELSANTANGELO SUL NERA  R O CODICE FISCALE 
ICE FISCALE 9WNTMHIY P8AGVRK , ATI ANAGRAFICI <START:Name> LO CIGNO GILIA <END> 819O 1910 F CASTELSARACENO  S A CODICE FISCALE 
ICE FISCALE WCNPMOV8ZYS 1KJX , ATI ANAGRAFICI <START:Name> LO CURTO GILIANA <END> 6  09 1 8O5  M CASTELSARDO  S S CODICE FISCALE 
ICE FISCALE H QGZJWNBSEL  UD , ATI ANAGRAFICI <START:Name> LO DESTRO GIOINA <END> 23101908 F CASTELSEPRIO  S V CODICE FISCALE 
ICE FISCALE 89  G TB6Y SUFQD , ATI ANAGRAFICI <START:Name> LO DUCA GIOVINA <END> 02 01 1969 F CASTELSILANO  S I CODICE FISCALE 
ICE FISCALE  J5VI NX1 MKL FE , ATI ANAGRAFICI <START:Name> LO FRANCO GIUSTA <END> 2008 1915 M CASTELSPINA  S R CODICE FISCALE 
ICE FISCALE DIVH19 JXT8CG OW , ATI ANAGRAFICI <START:Name> LO FRASSO GRADISCA <END> 7 8 2 0 2000 F CASTELTERMINI  S O CODICE FISCALE 
ICE FISCALE P 5Y6N J ODSI T9 , ATI ANAGRAFICI <START:Name> LO GATTO GUARINA <END> 0 O 3 1 9 O O O  F CASTELVECCANA  T A CODICE FISCALE 
ICE FISCALE  LWX AUGS  8EVKN , ATI ANAGRAFICI <START:Name> LO GRASSO GILIANTE <END> 78O01905 F CASTELVECCHIO CALVISIO  T E CODICE FISCALE 
ICE FISCALE GM9IH 6Z  WLVEJK , ATI ANAGRAFICI <START:Name> LO GUERCIO GIOIOSA <END> 8O33 1901 M CASTELVECCHIO DI ROCCA BARBENA  T R CODICE FISCALE 
ICE FISCALE TRU FHION 6CEDML , ATI ANAGRAFICI <START:Name> LO MAGRO GIRALDA <END> 069 5 8O 4O13 M CASTELVECCHIO SUBEQUO  T P CODICE FISCALE 
ICE FISCALE D5 M H9FC  XPE 6 , ATI ANAGRAFICI <START:Name> LO MANTO GIUSTINA <END> 17081960 F CASTELVENERE  T N CODICE FISCALE 
ICE FISCALE UZ WE BM85H NG9F , ATI ANAGRAFICI <START:Name> LO MUTO GRADITA <END> 05 09 1963 F CASTELVERDE  T V CODICE FISCALE 
ICE FISCALE  58TJYH FS QZRVU , ATI ANAGRAFICI <START:Name> LO PAPA GUELFA <END> 3005 1975 F CASTELVERRINO  T S CODICE FISCALE 
ICE FISCALE LGV8A 9HWECN DZS , ATI ANAGRAFICI <START:Name> LO PARCO GILIOLA <END> 6 1 2 O 2001 F CASTELVETERE IN VAL FORTORE  T O CODICE FISCALE 
ICE FISCALE VL N  QOPJ R8CA  , ATI ANAGRAFICI <START:Name> LO PARROCCO GIONNINA <END> O 3 O 3 O 8 3 3  F CASTELVETERE SUL CALORE  U D CODICE FISCALE 
ICE FISCALE DN SA8Z   CEJV5X , ATI ANAGRAFICI <START:Name> LO PRELATO GIROLAMA <END> 17781902 F CASTELVETRANO  V A CODICE FISCALE 
ICE FISCALE S IYV6XGQ M K9TB , ATI ANAGRAFICI <START:Name> LO PRESTO GIUSTINIANA <END> 3O65 1916 M CASTELVETRO DI MODENA  V E CODICE FISCALE 
ICE FISCALE SKOH ZW  MYC  59 , ATI ANAGRAFICI <START:Name> LO RUBBIO GRATA <END> 93 O0 72846O  F CASTELVETRO PIACENTINO  V B CODICE FISCALE 
ICE FISCALE X8 A61G9KONB LSV , ATI ANAGRAFICI <START:Name> LO SACCO GUENDA <END> 01011997 F CASTELVISCONTI  V C CODICE FISCALE 
ICE FISCALE 5ZQGIMAJX K6U81O , ATI ANAGRAFICI <START:Name> LO SASSO GILLA <END> 22 03 1956 M CASTENASO  V R CODICE FISCALE 
ICE FISCALE Z6SIJAWMCNL DOEU , ATI ANAGRAFICI <START:Name> LO SURDO GIORDANA <END> 0510 1938 F CASTENEDOLO  V V CODICE FISCALE 
ICE FISCALE  5IZSUD  N  TM89 , ATI ANAGRAFICI <START:Name> LO VASCIO GISA <END> 1 O 9 0 2007 M CASTIADAS  V I CODICE FISCALE 
ICE FISCALE 9TFJQIRZSCUMKG16 , ATI ANAGRAFICI <START:Name> LO VERDE GLAUCA <END> 5 9 7 2 1 0 8 8  M CASTIGLION FIBOCCHI  V T CODICE FISCALE 
ICE FISCALE C OSGR8D1EH  PXA , ATI ANAGRAFICI <START:Name> LOANUCCIO GRAZIA <END> 73841908 F CASTIGLION FIORENTINO  A G CODICE FISCALE 
ICE FISCALE REYSO6CXD9NWF J1 , ATI ANAGRAFICI <START:Name> LOBELLO GUENDALINA <END> 7766 1900 M CASTIGLIONE A CASAURIA  A L CODICE FISCALE 
ICE FISCALE M1XSO FJDT9NK8VC , ATI ANAGRAFICI <START:Name> LOBETTI GILLIA <END> 1 8O4 5  926 F CASTIGLIONE CHIAVARESE  A N CODICE FISCALE 
ICE FISCALE  ZFKPDE SC UJ HT , ATI ANAGRAFICI <START:Name> LOBIANCO GIORGETTA <END> 22091914 M CASTIGLIONE COSENTINO  A O CODICE FISCALE 
ICE FISCALE QEOYT B ZJIDN5A6 , ATI ANAGRAFICI <START:Name> LOBIONDO GISBERTA <END> 09 03 1980 F CASTIGLIONE D'ADDA  A R CODICE FISCALE 
ICE FISCALE OH8 NMCYRLQD JXT , ATI ANAGRAFICI <START:Name> LOBOCARO GLENDA <END> 0310 1957 M CASTIGLIONE D'ORCIA  A P CODICE FISCALE 
ICE FISCALE HNDF 8QSB9 LPATY , ATI ANAGRAFICI <START:Name> LOBONO GRAZIANA <END> 6 7 3 9 2007 M CASTIGLIONE DEI PEPOLI  A T CODICE FISCALE 
ICE FISCALE 69CR 5YO NMVS L  , ATI ANAGRAFICI <START:Name> LOBOSCO GUERINA <END> O 2 7 4 0 5 6 2  M CASTIGLIONE DEL GENOVESI  A V CODICE FISCALE 
ICE FISCALE 6Z59EM1HNDCGJRYU , ATI ANAGRAFICI <START:Name> LOBRUSSO GILMA <END> 748O1901 M CASTIGLIONE DEL LAGO  B A CODICE FISCALE 
ICE FISCALE PFU1 YBJHOQ X SR , ATI ANAGRAFICI <START:Name> LOBUANO GIORGIA <END> 2638 1907 M CASTIGLIONE DELLA PESCAIA  B T CODICE FISCALE 
ICE FISCALE MVZ LSED158Y9ICU , ATI ANAGRAFICI <START:Name> LOBUE GISELDA <END> 579 63 204 8O M CASTIGLIONE DELLE STIVIERE  B L CODICE FISCALE 
ICE FISCALE 9NCSG   8R  EV1B , ATI ANAGRAFICI <START:Name> LOCANFRO GLICERIA <END> 27111996 F CASTIGLIONE DI GARFAGNANA  B N CODICE FISCALE 
ICE FISCALE OMXFDVI5 RN8 CP9 , ATI ANAGRAFICI <START:Name> LOCANNO GRAZIELLA <END> 13 10 1985 F CASTIGLIONE DI SICILIA  B G CODICE FISCALE 
ICE FISCALE LXUMVE8ZPB5KH J9 , ATI ANAGRAFICI <START:Name> LOCARNO GUERRANDA <END> 1007 1963 F CASTIGLIONE FALLETTO  B I CODICE FISCALE 
ICE FISCALE  Q VUNB P C98W F , ATI ANAGRAFICI <START:Name> LOCASHIO GINA <END> 6 6 7 3 2006 F CASTIGLIONE IN TEVERINA  B O CODICE FISCALE 
ICE FISCALE UABZD OMWG1QCNY5 , ATI ANAGRAFICI <START:Name> LOCASRIO GIORGIANA <END> 8 6 0 7 2 O 9 5  F CASTIGLIONE MESSER MARINO  B Z CODICE FISCALE 
ICE FISCALE V   GX 9JT ESMIF , ATI ANAGRAFICI <START:Name> LOCATILLI GISELLA <END> 84861915 F CASTIGLIONE MESSER RAIMONDO  B S CODICE FISCALE 
ICE FISCALE  XF WKNQP6A85SIG , ATI ANAGRAFICI <START:Name> L’OCCASO GLORIA <END> 8179 1903 F CASTIGLIONE OLONA  B R CODICE FISCALE 
ICE FISCALE  Z9XPWS6TY O J5E , ATI ANAGRAFICI <START:Name> LOCCHI GRAZIETTA <END> O1 7493    06 F CASTIGLIONE TINELLA  C A CODICE FISCALE 
ICE FISCALE 1 KOU 9QR5LE Y8A , ATI ANAGRAFICI <START:Name> LOCIARI GUERRIERA <END> 20021918 M CASTIGLIONE TORINESE  C L CODICE FISCALE 
ICE FISCALE Q GI15 HC RA Y98 , ATI ANAGRAFICI <START:Name> LOCIHI GINEPRA <END> 13 02 1946 F CASTIGNANO  C B CODICE FISCALE 
ICE FISCALE X C 8MG HPSV95IU , ATI ANAGRAFICI <START:Name> LOCOCA GIORGIETTA <END> 2402 1960 M CASTILENTI  C I CODICE FISCALE 
ICE FISCALE P 6ZWVB9LTHQO 1Y , ATI ANAGRAFICI <START:Name> LOCOCO GISLENA <END> 2 1 6 O 2019 M CASTINO  C E CODICE FISCALE 
ICE FISCALE KISY TG JO8PF Z1 , ATI ANAGRAFICI <START:Name> LOCONTE GLORIANA <END> 7 5 4 5 1 7 0 7  F CASTIONE ANDEVENNO  C T CODICE FISCALE 
ICE FISCALE KAX5ZTB V R 8MG  , ATI ANAGRAFICI <START:Name> LOCUSTO GRAZINA <END> 895O1917 F CASTIONE DELLA PRESOLANA  C Z CODICE FISCALE 
ICE FISCALE 6LN1EYK8QBPRGHTA , ATI ANAGRAFICI <START:Name> LODARO GUERRINA <END> O70O 1916 F CASTIONS DI STRADA  C H CODICE FISCALE 
ICE FISCALE FYO1 TGAXB5 DHRJ , ATI ANAGRAFICI <START:Name> LODATO GINETTA <END> O7 54 30  891 F CASTIRAGA VIDARDO  C O CODICE FISCALE 
ICE FISCALE BQ   X5UP9IOKFGC , ATI ANAGRAFICI <START:Name> LODESERTO GIORGINA <END> 04081960 F CASTO  C S CODICE FISCALE 
ICE FISCALE NL6YADGKH5PJE91B , ATI ANAGRAFICI <START:Name> LODESTRO GISMONDA <END> 26 06 1903 M CASTORANO  C R CODICE FISCALE 
ICE FISCALE X8LAM PVC  R1USW , ATI ANAGRAFICI <START:Name> LODIOCONO GLORIETTA <END> 1602 1989 F CASTREZZATO  K R CODICE FISCALE 
ICE FISCALE TG9JMAB5HWXPRFSE , ATI ANAGRAFICI <START:Name> LODOLINI GRAZIOSA <END> 9 8 7 2 2012 F CASTRI DI LECCE  C N CODICE FISCALE 
ICE FISCALE 9ZALFWDS  KQU85  , ATI ANAGRAFICI <START:Name> LOFACONO GUGLIELMA <END> 6 0 7 0 9 2 6 8  M CASTRIGNANO DE' GRECI  E N CODICE FISCALE 
ICE FISCALE AYLN M 5  ITPBG  , ATI ANAGRAFICI <START:Name> LOFASO GINEVRA <END> O6001918 M CASTRIGNANO DEL CAPO  F M CODICE FISCALE 
ICE FISCALE KM BIJLNEC  68ZF , ATI ANAGRAFICI <START:Name> LOFFARO GIORLANDA <END> 9O78 1911 F CASTRO  F E CODICE FISCALE 
ICE FISCALE SE 9 FU JW5NG6Y  , ATI ANAGRAFICI <START:Name> LOFFREDA GIUDITTA <END> 6 9087 52 4 M CASTRO  F I CODICE FISCALE 
ICE FISCALE  HTQJ VSDE NX9U5 , ATI ANAGRAFICI <START:Name> LOFFREDO GOFFREDA <END> 30011921 F CASTRO DEI VOLSCI  F G CODICE FISCALE 
ICE FISCALE D BQMTP9ORE6JIL  , ATI ANAGRAFICI <START:Name> LOFORESE GRECA <END> 14 05 1932 M CASTROCARO TERME E TERRA DEL SOLE  F C CODICE FISCALE 
ICE FISCALE  Y91IV8 Z5FWKS P , ATI ANAGRAFICI <START:Name> LOGACONO GUGLIELMINA <END> 1005 1907 F CASTROCIELO  F R CODICE FISCALE 
ICE FISCALE W8YPBSOM9VAXJLR  , ATI ANAGRAFICI <START:Name> LOGASONO GINIA <END> 6 2 3 2 2002 M CASTROFILIPPO  G E CODICE FISCALE 
ICE FISCALE G1  PKRTM ZJ QW9 , ATI ANAGRAFICI <START:Name> LOGIOVINE GIORLANDINA <END> 4 8 7 O 6 1 6 1  M CASTROLIBERO  G O CODICE FISCALE 
ICE FISCALE T VH8BS96U Y NQG , ATI ANAGRAFICI <START:Name> LOGIURATO GIUGNA <END> O8751903 F CASTRONNO  G R CODICE FISCALE 
ICE FISCALE QT59V6I MO LKRYW , ATI ANAGRAFICI <START:Name> LOGOMARTINO GOITA <END> 5010 1905 F CASTRONOVO DI SICILIA  I M CODICE FISCALE 
ICE FISCALE TY5WCAIQ1RVLXJNP , ATI ANAGRAFICI <START:Name> LOGRANDE GREGORIA <END> 5 3O1802O9   F CASTRONUOVO DI SANT'ANDREA  I S CODICE FISCALE 
ICE FISCALE U8 B  NQ CMFZ KL , ATI ANAGRAFICI <START:Name> LOGRASSO GUIDA <END> 05091964 M CASTROPIGNANO  S P CODICE FISCALE 
ICE FISCALE TV QJS MBDF KLRC , ATI ANAGRAFICI <START:Name> LOIACONIO GIOACCHINA <END> 16 06 1949 F CASTROREALE  A Q CODICE FISCALE 
ICE FISCALE ADUC8ZFMN 9RTX   , ATI ANAGRAFICI <START:Name> LOIACONO GIOSETTA <END> 2109 1962 M CASTROREGIO  L T CODICE FISCALE 
ICE FISCALE 9NI6 FRD1U5B8WSG , ATI ANAGRAFICI <START:Name> LOICANO GIULIA <END> O 8 0 3 2009 F CASTROVILLARI  L E CODICE FISCALE 
