CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCAL VTIA9DCKYM8XOLB  DATI ANAGRAFICI RINALDI BIFAROLE 8  149 350O  CODICE FISCALE 
CODICE FISCAL GN A KCX I1QSLBM DATI ANAGRAFICI RINALDO BIFOLCO 25081945  CODICE FISCALE 
CODICE FISCAL QPTF8RGJ    ONXW DATI ANAGRAFICI RINANDO BIFULCO 08 02 1953  CODICE FISCALE 
CODICE FISCAL ACH QVM8STFEWROK DATI ANAGRAFICI RINARDO BIGATTI 0306 1963  CODICE FISCALE 
CODICE FISCAL M89XSG YJVRAFUNP DATI ANAGRAFICI RINAUDI BIGHETTI 2 1 3 O 2006  CODICE FISCALE 
CODICE FISCAL VMZADHW6YUS1RX8B DATI ANAGRAFICI RINELLA BIGHINI 0 9 0 3 8 9 4 9   CODICE FISCALE 
CODICE FISCAL CEP  OINWAZMV5QJ DATI ANAGRAFICI RINI BIGI 81381907  CODICE FISCALE 
CODICE FISCAL CW5RPFY V EU6O B DATI ANAGRAFICI RINIO BIGONGIARI 0288 1911  CODICE FISCALE 
CODICE FISCAL F LI BSWX1N5  YC DATI ANAGRAFICI RINLLI BIGORDI 48O 2 791    CODICE FISCALE 
CODICE FISCAL HABQPDXLVWR1K5C  DATI ANAGRAFICI RINNOLO BIGOTTI 28031991  CODICE FISCALE 
CODICE FISCAL RU XBIPSWQ6ANTF9 DATI ANAGRAFICI RINNOVE BILA 15 03 1977  CODICE FISCALE 
CODICE FISCAL S9EM6WN8KOLZ AX1 DATI ANAGRAFICI RINO BILANCIA 3005 1926  CODICE FISCALE 
CODICE FISCAL TU XQNMD 659VKGL DATI ANAGRAFICI RIOCETTO BILELLO 6 8 4 8 2006  CODICE FISCALE 
CODICE FISCAL VMHB5 N  D8  SF1 DATI ANAGRAFICI RIOLA BILENCHI 8 6 1 6 8 4 4 6   CODICE FISCALE 
CODICE FISCAL  XI9 OPRJLD8QGBZ DATI ANAGRAFICI RIOLO BILETTA 19551912  CODICE FISCALE 
CODICE FISCAL V MGDCHQYUAZWLFS DATI ANAGRAFICI RIONBOLITTO BILIDDO 8O68 1919  CODICE FISCALE 
CODICE FISCAL  U W8M9BSI XA P6 DATI ANAGRAFICI RIPA BILIDO 13   O078 O   CODICE FISCALE 
CODICE FISCAL  BNIX  CTSRZH WK DATI ANAGRAFICI RIPARI BILLA 05011930  CODICE FISCALE 
CODICE FISCAL  V1 9HYE SMB8TLW DATI ANAGRAFICI RIPOLI BILLANCO 18 02 1970  CODICE FISCALE 
CODICE FISCAL LN 1GSQ8ROM6 A 5 DATI ANAGRAFICI RIPOSATI BILLERI 0905 1980  CODICE FISCALE 
CODICE FISCAL ENPI JH1 CQR MF  DATI ANAGRAFICI RISANATO BILLI 6 6 3 O 2009  CODICE FISCALE 
CODICE FISCAL OV9KAHDI ULX  T  DATI ANAGRAFICI RISERBATA BIMBI 4 1 9 O 6 2 9 O   CODICE FISCALE 
CODICE FISCAL YEHGA16PS ZKMRUI DATI ANAGRAFICI RISESOEDELLI BIMBO 62361917  CODICE FISCALE 
CODICE FISCAL VB8LO JE TIWPAMQ DATI ANAGRAFICI RISI BINAGGIA 8241 1908  CODICE FISCALE 
CODICE FISCAL BH5SCW8G K EOUDN DATI ANAGRAFICI RISICALE BINASCHI  16O9372  8 O  CODICE FISCALE 
CODICE FISCAL MFSEOQT IA1GXRW  DATI ANAGRAFICI RISO BINAZZI 01111906  CODICE FISCALE 
CODICE FISCAL  J1 PXUG MN86LDK DATI ANAGRAFICI RISOLI BINDA 27 09 1965  CODICE FISCALE 
CODICE FISCAL   X8UY5K JT VIEZ DATI ANAGRAFICI RISSALVAT BINELLI 3005 1970  CODICE FISCALE 
CODICE FISCAL YES  NLTZGXU 98Q DATI ANAGRAFICI RISSI BINGLIA 7 O 3 3 2000  CODICE FISCALE 
CODICE FISCAL H8ELP YBZMRG IW  DATI ANAGRAFICI RISSO BINI 4 6 O 0 8 8 1 O   CODICE FISCALE 
CODICE FISCAL 5GKL8AV9DBW6NO M DATI ANAGRAFICI RISTANO BINOCA 116O1910  CODICE FISCALE 
CODICE FISCAL MKQ8U  O FH16LTX DATI ANAGRAFICI RISTI BIOCCA OO4O 1913  CODICE FISCALE 
CODICE FISCAL DMZ CJ 9VX QO851 DATI ANAGRAFICI RISTORE BIOHIGLIO  1O95O8 346  CODICE FISCALE 
CODICE FISCAL  SVLPC O NB 9DIJ DATI ANAGRAFICI RISTORI BIOLCHINI 15031952  CODICE FISCALE 
CODICE FISCAL ZEXWTG K1H8FJ5 A DATI ANAGRAFICI RITICELLA BIOLO 04 09 1910  CODICE FISCALE 
CODICE FISCAL  YTR5VHQGNL6PDB9 DATI ANAGRAFICI RITOCCO BIONDO 1006 1909  CODICE FISCALE 
CODICE FISCAL KVL AP1ZOR9 FBDT DATI ANAGRAFICI RITROVATO BIONDOLELLO 4 8 1 4 2005  CODICE FISCALE 
CODICE FISCAL   56C8VZMY AEQXF DATI ANAGRAFICI RITZO BIONDOLILLO 5 O 9 7 8 7 8 0   CODICE FISCALE 
CODICE FISCAL PSLCRK HVQ1WUF9N DATI ANAGRAFICI RIUANDO BIONI 14431918  CODICE FISCALE 
CODICE FISCAL 1IPD LYHVU E8GWF DATI ANAGRAFICI RIVA BIORDO 2032 1912  CODICE FISCALE 
CODICE FISCAL AMNOXSBQK P  6D  DATI ANAGRAFICI RIVACO BIRHIGLIO  06O28 31 4 5  CODICE FISCALE 
CODICE FISCAL  L XH MRCZS IKJ  DATI ANAGRAFICI RIVARA BIROCCINI 04061908  CODICE FISCALE 
CODICE FISCAL RSUBV 6MTOFWA 8K DATI ANAGRAFICI RIVELLIUI BIRRI 28 10 1974  CODICE FISCALE 
CODICE FISCAL 18DZ6EUBLXF9KAGC DATI ANAGRAFICI RIVIA BISACCI 2701 1926  CODICE FISCALE 
CODICE FISCAL  EL6R M1U GB9YTC DATI ANAGRAFICI RIVOLI BISACCIA 0 5 6 5 2018  CODICE FISCALE 
CODICE FISCAL R J8IE NSPDC FMA DATI ANAGRAFICI RIYA BISANTI 0 2 5 0 3 0 9 4   CODICE FISCALE 
CODICE FISCAL L VP N56U9GSTKBR DATI ANAGRAFICI RIZA BISANZIO 54871900  CODICE FISCALE 
CODICE FISCAL QVN6BT Y1 XI D8  DATI ANAGRAFICI RIZZANTA BISASI O519 1905  CODICE FISCALE 
CODICE FISCAL 6 1 IMTZSLPHJU G DATI ANAGRAFICI RIZZARDI BISCARO 2560 O8 O1   CODICE FISCALE 
CODICE FISCAL U PL1TC5NKX8MED  DATI ANAGRAFICI RIZZI BISCEGLIA 26041941  CODICE FISCALE 
CODICE FISCAL D58A SZOUVIC1RM6 DATI ANAGRAFICI RIZZIERI BISCIA 16 08 1963  CODICE FISCALE 
CODICE FISCAL ZEC YHGBD6PL5MUR DATI ANAGRAFICI RIZZINI BISCIGLIA 0510 1904  CODICE FISCALE 
CODICE FISCAL W5F8LRPXOCM A GQ DATI ANAGRAFICI RIZZIO BISCOMINI 0 6 3 O 2007  CODICE FISCALE 
CODICE FISCAL LAE BJQK1NP  UHZ DATI ANAGRAFICI RIZZITELLO BISCOTTI 1 1 3 O 3 O 7 7   CODICE FISCALE 
CODICE FISCAL 5 LNS81YH MPU RO DATI ANAGRAFICI RIZZITO BISCUITI 94O21913  CODICE FISCALE 
CODICE FISCAL 6Q NSRHU X9ICDOF DATI ANAGRAFICI RIZZO BISEATO 52O2 1919  CODICE FISCALE 
CODICE FISCAL FH ZSXDG8K JPUIB DATI ANAGRAFICI RIZZOTTO BISESTI O 8   9 4376O  CODICE FISCALE 
CODICE FISCAL WUT J M1ZFHPK9YA DATI ANAGRAFICI RIZZSTELLA BISI 30021995  CODICE FISCALE 
CODICE FISCAL UAI8O6DTEL1HM YW DATI ANAGRAFICI RIZZUITO BISICCHIA 27 05 1904  CODICE FISCALE 
CODICE FISCAL WQMVI6CDFUH ZBY9 DATI ANAGRAFICI RIZZUTO BISIGNANO 2308 1964  CODICE FISCALE 
CODICE FISCAL Z TB5D9MFRKS61QJ DATI ANAGRAFICI ROBBATO BISIOGUANO 7 8 1 7 2008  CODICE FISCALE 
CODICE FISCAL  L 1 XYRBWZET AS DATI ANAGRAFICI ROBEISTA BISSA 2 O 1 7 0 6 O 3   CODICE FISCALE 
CODICE FISCAL HEBNOK I  LW5VRX DATI ANAGRAFICI ROBERTAZZI BISSANTI 77861914  CODICE FISCALE 
CODICE FISCAL QC USABL 5ENKYOF DATI ANAGRAFICI ROBERTAZZO BISTOLFI 0139 1913  CODICE FISCALE 
CODICE FISCAL OMU58HJA  INPEGY DATI ANAGRAFICI ROBERTELLO BISTONE O64    5091  CODICE FISCALE 
CODICE FISCAL PNRQ  EBDJH US5I DATI ANAGRAFICI ROBERTINI BISTORTI 24061915  CODICE FISCALE 
CODICE FISCAL  RLK MS 5Q X Y6C DATI ANAGRAFICI ROBERTIS BIUNDO 01 10 1963  CODICE FISCALE 
CODICE FISCAL   9BQH6EAKLZ1RGV DATI ANAGRAFICI ROBERTO BIVONA 2507 1948  CODICE FISCALE 
CODICE FISCAL DXQ8U E65JWLVFGM DATI ANAGRAFICI ROBERTO BIXIO 8 7 2 6 2006  CODICE FISCALE 
CODICE FISCAL D UR9BXLOS EGQI8 DATI ANAGRAFICI ROBINI BIZZARRI 9 0 2 3 8 5 9 3   CODICE FISCALE 
CODICE FISCAL FC  SKPA5E8J6DRN DATI ANAGRAFICI ROBUSTIANO BIZZIZERO 24341900  CODICE FISCALE 
CODICE FISCAL R UXKGWP YC61 MN DATI ANAGRAFICI ROBUSTO BIZZOCCHERI O125 1900  CODICE FISCALE 
CODICE FISCAL GX  BUF1NSJKHTDO DATI ANAGRAFICI ROCAFORTE BLANCA O9  2 63  1  CODICE FISCALE 
CODICE FISCAL JEW BSNP 5HMCG6  DATI ANAGRAFICI ROCCA BLANCO 10071943  CODICE FISCALE 
CODICE FISCAL OIFBNR CZDPKU6AE DATI ANAGRAFICI ROCCAFORTE BLANDI 23 07 1993  CODICE FISCALE 
CODICE FISCAL 89 HNS6JMZD5PY 1 DATI ANAGRAFICI ROCCE BLANDO 2805 1948  CODICE FISCALE 
CODICE FISCAL 6 OVQMX  RWT ZJB DATI ANAGRAFICI ROCCELLA BLUMETTI 8 5 1 5 2008  CODICE FISCALE 
CODICE FISCAL MPECWHK9VU  G 5R DATI ANAGRAFICI ROCCELLI BOARI 1 9 0 1 O 8 4 4   CODICE FISCALE 
CODICE FISCAL  YD8V5U L6 PXRO  DATI ANAGRAFICI ROCCHETTI BOARINI 70021905  CODICE FISCALE 
CODICE FISCAL NB GX AYJ DS8ROI DATI ANAGRAFICI ROCCIA BOASSO 246O 1908  CODICE FISCALE 
CODICE FISCAL Y5SGJT1 MAV6 K X DATI ANAGRAFICI ROCCO BOCCA 4 O8O 607    CODICE FISCALE 
CODICE FISCAL SFW1H  QLE VP5J  DATI ANAGRAFICI ROCCOFORTA BOCCABELLA 19011913  CODICE FISCALE 
CODICE FISCAL  6KYWF  XP5SRNOH DATI ANAGRAFICI ROCCOFORTE BOCCABIANCA 23 08 1976  CODICE FISCALE 
CODICE FISCAL DKRAXL WTHSYBQ E DATI ANAGRAFICI ROCENICCHIO BOCCADIFERRO 2202 1954  CODICE FISCALE 
CODICE FISCAL  L F1JK 9V6HEQTN DATI ANAGRAFICI ROCHETTI BOCCADIFUOCO O O 7 9 2007  CODICE FISCALE 
CODICE FISCAL UTNS5L8DYCKOQI   DATI ANAGRAFICI ROCITRA BOCCADORO 2 5 2 O 3 O 4 O   CODICE FISCALE 
CODICE FISCAL UMK  YO9JHN SEXW DATI ANAGRAFICI ROCSA BOCCAFURNI 15OO1903  CODICE FISCALE 
CODICE FISCAL DV  N IO APEBJ5T DATI ANAGRAFICI RODANTE BOCCAFUSCO 617O 1905  CODICE FISCALE 
CODICE FISCAL Z QHP1 98K VSELJ DATI ANAGRAFICI RODESSA BOCCALARI 6O7  428 0   CODICE FISCALE 
CODICE FISCAL CG8WQBU  X6ON MS DATI ANAGRAFICI RODI BOCCALI 01051964  CODICE FISCALE 
CODICE FISCAL 5FYWDBTLM 9IH RZ DATI ANAGRAFICI RODINO BOCCALIERO 11 10 1948  CODICE FISCALE 
CODICE FISCAL  8SMC NJ1RIX KAH DATI ANAGRAFICI RODISSON BOCCALINI 2104 1922  CODICE FISCALE 
CODICE FISCAL XP5ORG WUD 9FSVH DATI ANAGRAFICI RODOSTA BOCCALUPI 6 6 5 O 2015  CODICE FISCALE 
CODICE FISCAL DWAH8 Y BKX  U1G DATI ANAGRAFICI RODOSTI BOCCANERA 1 4 7 0 9 8 2 3   CODICE FISCALE 
CODICE FISCAL NDPR6Z EVY W I T DATI ANAGRAFICI ROERES BOCCAPECORI 37361919  CODICE FISCALE 
CODICE FISCAL  NUXM ARKBL  JF9 DATI ANAGRAFICI ROGADEO BOCCARDI 8O50 1910  CODICE FISCALE 
CODICE FISCAL Y8EORGVFZ  ATI 6 DATI ANAGRAFICI ROGANIO BOCCAROSSA  7O45  2638    CODICE FISCALE 
CODICE FISCAL MBJ9PZKLY1  O AV DATI ANAGRAFICI ROGATO BOCCATORTA 12031909  CODICE FISCALE 
CODICE FISCAL 1EM R IGTDH 9VAW DATI ANAGRAFICI ROGNA BOCCI 24 06 1953  CODICE FISCALE 
CODICE FISCAL STK8N MZIOPCEXA1 DATI ANAGRAFICI ROGNETTI BOCCIA 1811 1932  CODICE FISCALE 
CODICE FISCAL IBJZ L68H QKOWSP DATI ANAGRAFICI ROGNONE BOCCIARELLI 9 1 4 6 2015  CODICE FISCALE 
CODICE FISCAL KZMY6UG X O85J9  DATI ANAGRAFICI ROINI BOCCIARELLO 6 O O 3 2 9 2 O   CODICE FISCALE 
CODICE FISCAL 6C9IZ   WDPU KME DATI ANAGRAFICI ROLANDO BOCCIERI 47761908  CODICE FISCALE 
CODICE FISCAL M1BZW6IUFT S KQE DATI ANAGRAFICI ROLETTA BOCCINI 9727 1909  CODICE FISCALE 
CODICE FISCAL  F8PCMYH6 VLK1NO DATI ANAGRAFICI ROLETTI BOCCIONI 39 O4587 6O 1  CODICE FISCALE 
CODICE FISCAL 1PFTKISB EA9 M J DATI ANAGRAFICI ROLINATO BOCCUTO 01011998  CODICE FISCALE 
CODICE FISCAL Z 5  IA Y81KSURO DATI ANAGRAFICI ROLO BODAGLIACCA 24 07 1912  CODICE FISCALE 
CODICE FISCAL ZJS81 DFG   VXHB DATI ANAGRAFICI ROMA BODONI 2904 1924  CODICE FISCALE 
CODICE FISCAL BRLU  5K FEOJ GN DATI ANAGRAFICI ROMAGNOLI BOEMI 8 7 3 8 2019  CODICE FISCALE 
CODICE FISCAL 6A8P 5Z  S XH TB DATI ANAGRAFICI ROMAGNUOLO BOETTI 2 0 O 5 9 1 O 6   CODICE FISCALE 
CODICE FISCAL TZOBKXQJ5Y9 S I  DATI ANAGRAFICI ROMANA BOFFA 78751918  CODICE FISCALE 
CODICE FISCAL GLN8V BYTA  HCZM DATI ANAGRAFICI ROMANDO BOGGIA 4185 1915  CODICE FISCALE 
CODICE FISCAL AU QS  6MWR8Y I  DATI ANAGRAFICI ROMANIA BOGGIONE 50 4 698723OO  CODICE FISCALE 
CODICE FISCAL YFUE  I M9LR5ZQ  DATI ANAGRAFICI ROMANO BOI 07061902  CODICE FISCALE 
CODICE FISCAL I XA56 V QMZL EB DATI ANAGRAFICI ROMAZZOTTO BOIA 01 07 1974  CODICE FISCALE 
CODICE FISCAL U8 ZOG JSXWPFMH  DATI ANAGRAFICI ROMBELLO BOIARDO 1504 1905  CODICE FISCALE 
CODICE FISCAL  X9 FBPMZRSO 6CV DATI ANAGRAFICI ROMBONE BOLESTRERI 1 1 O 8 2014  CODICE FISCALE 
CODICE FISCAL  DOQC9S KJNHVXYL DATI ANAGRAFICI ROMEO BOLINO 0 8 3 2 0 3 O 8   CODICE FISCALE 
CODICE FISCAL YL1 UZ GSVCO5FI  DATI ANAGRAFICI ROMERO BOLLA 06301909  CODICE FISCALE 
CODICE FISCAL J TGOUF9 VPXIM Q DATI ANAGRAFICI ROMITI BOLLATI 1182 1910  CODICE FISCALE 
CODICE FISCAL  DUFLE6   SWQ5MP DATI ANAGRAFICI ROMIZI BOLLETTI O 82  6 9140   CODICE FISCALE 
CODICE FISCAL X6 9NZYVSB WCQ H DATI ANAGRAFICI ROMMINO BOLLETTINO 21041903  CODICE FISCALE 
CODICE FISCAL DOUV EF 15T PCRK DATI ANAGRAFICI ROMPIFERRO BOLLINI 14 06 1919  CODICE FISCALE 
CODICE FISCAL 8 KC1QHELT 5 VZG DATI ANAGRAFICI RONCA BOLOGNA 0401 1954  CODICE FISCALE 
CODICE FISCAL  SLDZUJP VX5B 1A DATI ANAGRAFICI RONCAGLIA BOLOGNESI 9 9 8 2 2005  CODICE FISCALE 
CODICE FISCAL W RV XK1QIHABLG6 DATI ANAGRAFICI RONCARI BOLOGNINI 1 7 2 8 4 7 9 4   CODICE FISCALE 
CODICE FISCAL 8X Y5ZP D 9GFA N DATI ANAGRAFICI RONCHETTI BOLZON 27901913  CODICE FISCALE 
CODICE FISCAL S  CFDXHEP U9ZQ  DATI ANAGRAFICI RONCHOTTO BOMBA 8818 1916  CODICE FISCALE 
CODICE FISCAL XJL819ANCBTVRQG  DATI ANAGRAFICI RONCIONI BOMBARDA 094135 6  2  CODICE FISCALE 
CODICE FISCAL HC51QOBVKPYT JXM DATI ANAGRAFICI RONDANI BOMBARDI 23021956  CODICE FISCALE 
CODICE FISCAL 5WRVAD9B1EQJX G  DATI ANAGRAFICI RONDANINA BOMBARDIERI 25 05 1947  CODICE FISCALE 
CODICE FISCAL  VSHTZPYJI AEX8F DATI ANAGRAFICI RONDELLO BOMBARDO 2610 1992  CODICE FISCALE 
CODICE FISCAL QPZR KADYJ5WUH9E DATI ANAGRAFICI RONDGUE BOMBAST 5 4 3 4 2018  CODICE FISCALE 
CODICE FISCAL H6DXFUA R5 IOGQY DATI ANAGRAFICI RONDONE BOMBASTIANO 5 6 9 6 2 1 7 5   CODICE FISCALE 
CODICE FISCAL CW KBX5FIORPZ6GV DATI ANAGRAFICI RONDONI BOMBICI 73121910  CODICE FISCALE 
CODICE FISCAL 6RYPHSJK9BO XGW5 DATI ANAGRAFICI RONGA BOMBINO 2101 1902  CODICE FISCALE 
CODICE FISCAL UDCQBEVRIG J   L DATI ANAGRAFICI RONGETTI BOMINO 3 9  2 160 57  CODICE FISCALE 
CODICE FISCAL JP6NW EXGBAQCDIK DATI ANAGRAFICI RONNULLO BOMMARITO 30081939  CODICE FISCALE 
CODICE FISCAL PVA Q C5 NIWF81Y DATI ANAGRAFICI RONSIVALLE BOMMARTINI 30 10 1951  CODICE FISCALE 
CODICE FISCAL  W6TXVHN5 B1 EAO DATI ANAGRAFICI RONZINI BOMMICINO 2101 1935  CODICE FISCALE 
CODICE FISCAL RLKNPOEHBIDSAX 9 DATI ANAGRAFICI RONZONE BOMPAROLA O O 4 4 2019  CODICE FISCALE 
CODICE FISCAL 6GRICKBMSNZOE  1 DATI ANAGRAFICI ROPI BOMVISSUTO 7 6 4 3 0 3 O 7   CODICE FISCALE 
CODICE FISCAL B1  J9CIF U TKL  DATI ANAGRAFICI ROPOLO BONA 2O381905  CODICE FISCALE 
CODICE FISCAL   8HG9 DAU EP5BT DATI ANAGRAFICI ROPOPOLO BONACCOLTI 7188 1902  CODICE FISCALE 
CODICE FISCAL DGYQ5F  XJ8S  HR DATI ANAGRAFICI ROPPOLO BONACCORSO  O 9 83701524  CODICE FISCALE 
CODICE FISCAL SKCDMFJYLP QIBTA DATI ANAGRAFICI RORTUSO BONADIA 18021938  CODICE FISCALE 
CODICE FISCAL FGY N TV6EJ9CBZ8 DATI ANAGRAFICI ROSA BONADONIA 13 07 1991  CODICE FISCALE 
CODICE FISCAL DO M5E 6PLGWF9XU DATI ANAGRAFICI ROSAI BONADONNA 1906 1901  CODICE FISCALE 
CODICE FISCAL YN  QSLOA TXVP6H DATI ANAGRAFICI ROSALIO BONAFEDE O 5 4 5 2000  CODICE FISCALE 
CODICE FISCAL FGXRJAM1 6KONIZ  DATI ANAGRAFICI ROSALO BONAFINE 2 9 1 6 O O 5 9   CODICE FISCALE 
CODICE FISCAL NIDL 1E69XA8VGBQ DATI ANAGRAFICI ROSAMARINA BONAGAMBA 07951917  CODICE FISCALE 
CODICE FISCAL JIWFN CP6YKTRGMD DATI ANAGRAFICI ROSAMILA BONAGENTE 1O33 1909  CODICE FISCALE 
CODICE FISCAL 6HTIGF8QUEZ1BCP9 DATI ANAGRAFICI ROSANO BONAIUTI  7 3  09542  CODICE FISCALE 
CODICE FISCAL  6AYQBFXDZ1P C V DATI ANAGRAFICI ROSARI BONALUMI 28081928  CODICE FISCALE 
CODICE FISCAL F TPG DK W8B6AS5 DATI ANAGRAFICI ROSASCO BONAMANO 10 03 1909  CODICE FISCALE 
CODICE FISCAL Q1HA8RN9FD BYM J DATI ANAGRAFICI ROSASO BONAMONTO 1709 1909  CODICE FISCALE 
CODICE FISCAL FUE8 1HZ 9VIN PR DATI ANAGRAFICI ROSATI BONANIO 9 4 O O 2002  CODICE FISCALE 
CODICE FISCAL  XUPQ8DWMTH ZK9  DATI ANAGRAFICI ROSATO BONANNIO 9 0 8 4 3 2 8 9   CODICE FISCALE 
CODICE FISCAL CQAW E5KU JTD  F DATI ANAGRAFICI ROSAZZA BONANNO 82781918  CODICE FISCALE 
CODICE FISCAL XAP1U BLI O EN56 DATI ANAGRAFICI ROSCO BONANO 829O 1905  CODICE FISCALE 
CODICE FISCAL X B NTYLS  6PQCK DATI ANAGRAFICI ROSCONI BONAPACE 7 380 O O65   CODICE FISCALE 
CODICE FISCAL JGZUPEFVYDSLNM   DATI ANAGRAFICI ROSELLI BONARIGO 11061933  CODICE FISCALE 
CODICE FISCAL 1KV9YC OJ8T5FS H DATI ANAGRAFICI ROSELLINI BONASI 04 07 1934  CODICE FISCALE 
CODICE FISCAL 1PYMG  VWDK IXQB DATI ANAGRAFICI ROSETO BONASPETTI 1304 1905  CODICE FISCALE 
CODICE FISCAL 965W8 CSNO MFHPR DATI ANAGRAFICI ROSETTI BONASPINA 3 5 7 8 2019  CODICE FISCALE 
CODICE FISCAL P CHFXNRW 9YM O5 DATI ANAGRAFICI ROSETTO BONATESTA 1 9 7 0 3 5 0 6   CODICE FISCALE 
CODICE FISCAL BDWP K 6EGLQM 9Y DATI ANAGRAFICI ROSIGNUOLI BONAUGURO 86041912  CODICE FISCALE 
CODICE FISCAL DB8 NTVUWCE FA6H DATI ANAGRAFICI ROSITI BONAVECCHIA O262 1900  CODICE FISCALE 
CODICE FISCAL HQUC5XMAN ZRPD L DATI ANAGRAFICI ROSLE BONAVENTURA   36 8O025   CODICE FISCALE 
CODICE FISCAL  EK ZU  S95CLM H DATI ANAGRAFICI ROSPELLI BONAVITA 02081980  CODICE FISCALE 
CODICE FISCAL SK CTJBPEYRGQI   DATI ANAGRAFICI ROSPI BONAVOGLIA 29 08 1904  CODICE FISCALE 
CODICE FISCAL I AOZQLDC516  FU DATI ANAGRAFICI ROSPONI BONAVOLONTÀ 1903 1988  CODICE FISCALE 
CODICE FISCAL Y LO8 NAE Z6GUCJ DATI ANAGRAFICI ROSS BONBISSUTO 1 8 5 O 2003  CODICE FISCALE 
CODICE FISCAL   R1F PKWN 9DUJA DATI ANAGRAFICI ROSSELLI BONCARDO 5 O 8 9 4 9 7 O   CODICE FISCALE 
CODICE FISCAL 1KR QA E UCTFSH  DATI ANAGRAFICI ROSSETTI BONCERA O4811908  CODICE FISCALE 
CODICE FISCAL QKS WXBZ8  FY5DG DATI ANAGRAFICI ROSSETTO BONCIANI 96O9 1911  CODICE FISCALE 
CODICE FISCAL Y   X ELIPZHT9 K DATI ANAGRAFICI ROSSI BONCLERICO 06O  47 35    CODICE FISCALE 
CODICE FISCAL YZF8WT KVMC6PQ 5 DATI ANAGRAFICI ROSSO BONCOMPAGNI 12091921  CODICE FISCALE 
CODICE FISCAL 91NUOIKTQ5 V8PH  DATI ANAGRAFICI ROTA BONCONSIGLIO 24 03 1989  CODICE FISCALE 
CODICE FISCAL IKRW9HMU85Z1XOLB DATI ANAGRAFICI ROTARI BONCONTI 0410 1929  CODICE FISCALE 
CODICE FISCAL  K9GEN IMZP UYDF DATI ANAGRAFICI ROTELLA BONCORE 6 1 4 0 2010  CODICE FISCALE 
CODICE FISCAL M 5Y W S8PVOQZ9X DATI ANAGRAFICI ROTELLINI BONDI 4 6 O 4 4 8 0 4   CODICE FISCALE 
CODICE FISCAL 89 KN TQIOL5FJ6W DATI ANAGRAFICI ROTIROTI BONDIOLI 95O21917  CODICE FISCALE 
CODICE FISCAL TPV5IWDMR K E 9B DATI ANAGRAFICI ROTOLO BONELLO 9089 1912  CODICE FISCALE 
CODICE FISCAL AK6UT P N9Y V8LS DATI ANAGRAFICI ROTONDO BONERBA 9 4  62O503  CODICE FISCALE 
CODICE FISCAL 8YKR LXZ   MHE C DATI ANAGRAFICI ROTTI BONESSONINI 14101936  CODICE FISCALE 
CODICE FISCAL GMJCXD VTUW A 6O DATI ANAGRAFICI ROTUNDA BONETTI 07 11 1978  CODICE FISCALE 
CODICE FISCAL 6 RY8OULGVXSFH5J DATI ANAGRAFICI ROTUNNO BONFANTE 2409 1914  CODICE FISCALE 
CODICE FISCAL XRVOBIG1T5P  UM  DATI ANAGRAFICI ROUPORTE BONFANTI 2 1 O 3 2000  CODICE FISCALE 
CODICE FISCAL VIKTL6N9ZWXFQJ O DATI ANAGRAFICI ROUZINI BONFATTO 9 8 8 O O 3 9 O   CODICE FISCALE 
CODICE FISCAL WS9MNAQD 8G6TXEL DATI ANAGRAFICI ROVANO BONFERARO 36651904  CODICE FISCALE 
CODICE FISCAL TLJW ENM6C V 8ZR DATI ANAGRAFICI ROVATI BONFICHI 433O 1909  CODICE FISCALE 
CODICE FISCAL 8TBJCA5L VZWFQ I DATI ANAGRAFICI ROVECINO BONFIELD  O8 9761 4   CODICE FISCALE 
CODICE FISCAL   BC PYSJRG61D9A DATI ANAGRAFICI ROVERE BONFIGLI 08011974  CODICE FISCALE 
CODICE FISCAL KYMPA8T 1HSG9 R  DATI ANAGRAFICI ROVETTA BONFIGLIO 24 02 1930  CODICE FISCALE 
CODICE FISCAL SFQONK618MGHW BX DATI ANAGRAFICI ROVETTO BONFIOLI 0907 1936  CODICE FISCALE 
CODICE FISCAL PEFRNXHI M1 ULC6 DATI ANAGRAFICI ROVINI BONFISSUTO 6 9 4 4 2001  CODICE FISCALE 
CODICE FISCAL O1NBA H 9 WVX  8 DATI ANAGRAFICI ROZARA BONFORTI 2 8 0 O 0 2 5 1   CODICE FISCALE 
CODICE FISCAL A OZ6 GVK8SBCT   DATI ANAGRAFICI ROZZI BONFRATELLI O8841900  CODICE FISCALE 
CODICE FISCAL FDQMT5GOXR N CU9 DATI ANAGRAFICI RRISCICA BONGARZONI 7165 1906  CODICE FISCALE 
CODICE FISCAL LYBSWEUZXIJ8MO15 DATI ANAGRAFICI RUA BONGEROLOMI  80O9 54O1   CODICE FISCALE 
CODICE FISCAL 1 DE6JBQ CHA USR DATI ANAGRAFICI RUBANO BONGIOANNI 29031958  CODICE FISCALE 
CODICE FISCAL ZPXRK6ESW9YM C V DATI ANAGRAFICI RUBATO BONGIONNO 24 11 1996  CODICE FISCALE 
CODICE FISCAL 5YA OLDMIRH FJQ8 DATI ANAGRAFICI RUBBIO BONGIORANIE 0606 1972  CODICE FISCALE 
