CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
ICE FISCALE OYK1FT  EL 6PWQC , ATI ANAGRAFICI LO PRESTO GIUSTINIANA <START:DOB> 896O 1901 <END> F CASTELVETRO DI MODENA  V E CODICE FISCALE 
ICE FISCALE QO F9 R 1LCBUJ V , ATI ANAGRAFICI LO RUBBIO GRATA <START:DOB>  451O 3 2O 9 <END> F CASTELVETRO PIACENTINO  V B CODICE FISCALE 
ICE FISCALE  RPD5TZ1I WS9FHC , ATI ANAGRAFICI LO SACCO GUENDA <START:DOB> 24101987 <END> M CASTELVISCONTI  V C CODICE FISCALE 
ICE FISCALE Z6BD9X IWJAGPUSN , ATI ANAGRAFICI LO SASSO GILLA <START:DOB> 21 06 1952 <END> M CASTENASO  V R CODICE FISCALE 
ICE FISCALE VOYLTIDWHPQAMFG9 , ATI ANAGRAFICI LO SURDO GIORDANA <START:DOB> 0905 1999 <END> F CASTENEDOLO  V V CODICE FISCALE 
ICE FISCALE ULNYRCV  WI165X  , ATI ANAGRAFICI LO VASCIO GISA <START:DOB> 0 6 O O 2018 <END> F CASTIADAS  V I CODICE FISCALE 
ICE FISCALE  JKHRM LNT5 8  Y , ATI ANAGRAFICI LO VERDE GLAUCA <START:DOB> 4 O 6 0 1 0 2 9  <END> M CASTIGLION FIBOCCHI  V T CODICE FISCALE 
ICE FISCALE  HMP XBU FC 8 K5 , ATI ANAGRAFICI LOANUCCIO GRAZIA <START:DOB> 618O1908 <END> F CASTIGLION FIORENTINO  A G CODICE FISCALE 
ICE FISCALE ORY8 NAJMLZKUPEB , ATI ANAGRAFICI LOBELLO GUENDALINA <START:DOB> 5241 1919 <END> F CASTIGLIONE A CASAURIA  A L CODICE FISCALE 
ICE FISCALE 5O6XBYLHU P1 M9E , ATI ANAGRAFICI LOBETTI GILLIA <START:DOB> 908 5O  3 O47 <END> M CASTIGLIONE CHIAVARESE  A N CODICE FISCALE 
ICE FISCALE ITA8X F65PD9WBSL , ATI ANAGRAFICI LOBIANCO GIORGETTA <START:DOB> 28081970 <END> F CASTIGLIONE COSENTINO  A O CODICE FISCALE 
ICE FISCALE XOUPV NFYK C9TM  , ATI ANAGRAFICI LOBIONDO GISBERTA <START:DOB> 28 03 1938 <END> F CASTIGLIONE D'ADDA  A R CODICE FISCALE 
ICE FISCALE 68QAYVZH 5SBR9 K , ATI ANAGRAFICI LOBOCARO GLENDA <START:DOB> 1607 1967 <END> F CASTIGLIONE D'ORCIA  A P CODICE FISCALE 
ICE FISCALE 9Q  6UEL  DTNV8G , ATI ANAGRAFICI LOBONO GRAZIANA <START:DOB> 1 6 O 4 2011 <END> F CASTIGLIONE DEI PEPOLI  A T CODICE FISCALE 
ICE FISCALE OD9 8U5Y1  JTERB , ATI ANAGRAFICI LOBOSCO GUERINA <START:DOB> 7 8 1 4 7 O 3 1  <END> M CASTIGLIONE DEL GENOVESI  A V CODICE FISCALE 
ICE FISCALE  A 8OYXH ED1TSML , ATI ANAGRAFICI LOBRUSSO GILMA <START:DOB> 79021912 <END> M CASTIGLIONE DEL LAGO  B A CODICE FISCALE 
ICE FISCALE QFDBL6IJYRVX1T89 , ATI ANAGRAFICI LOBUANO GIORGIA <START:DOB> O34O 1917 <END> M CASTIGLIONE DELLA PESCAIA  B T CODICE FISCALE 
ICE FISCALE W YEL PFZ JSMD68 , ATI ANAGRAFICI LOBUE GISELDA <START:DOB>   6 04581O 7 <END> F CASTIGLIONE DELLE STIVIERE  B L CODICE FISCALE 
ICE FISCALE D JVMOS PGYZK9 R , ATI ANAGRAFICI LOCANFRO GLICERIA <START:DOB> 13091960 <END> M CASTIGLIONE DI GARFAGNANA  B N CODICE FISCALE 
ICE FISCALE JD 6 IHYF8WBQE91 , ATI ANAGRAFICI LOCANNO GRAZIELLA <START:DOB> 24 07 1919 <END> F CASTIGLIONE DI SICILIA  B G CODICE FISCALE 
ICE FISCALE S6K8PRGVBCJUXEO5 , ATI ANAGRAFICI LOCARNO GUERRANDA <START:DOB> 1210 1925 <END> M CASTIGLIONE FALLETTO  B I CODICE FISCALE 
ICE FISCALE 8SF9G5   VOXEPQZ , ATI ANAGRAFICI LOCASHIO GINA <START:DOB> 2 7 O O 2016 <END> M CASTIGLIONE IN TEVERINA  B O CODICE FISCALE 
ICE FISCALE FM1ZU5NTE8 WLG   , ATI ANAGRAFICI LOCASRIO GIORGIANA <START:DOB> 3 0 7 2 1 3 1 2  <END> F CASTIGLIONE MESSER MARINO  B Z CODICE FISCALE 
ICE FISCALE 9JZHYQPE  OLVB5T , ATI ANAGRAFICI LOCATILLI GISELLA <START:DOB> 892O1902 <END> M CASTIGLIONE MESSER RAIMONDO  B S CODICE FISCALE 
ICE FISCALE 8ABFC5 6WEXN ILQ , ATI ANAGRAFICI L’OCCASO GLORIA <START:DOB> 7876 1912 <END> F CASTIGLIONE OLONA  B R CODICE FISCALE 
ICE FISCALE 68ZLFMTIXW1DA JU , ATI ANAGRAFICI LOCCHI GRAZIETTA <START:DOB> 40  9  1O275 <END> M CASTIGLIONE TINELLA  C A CODICE FISCALE 
ICE FISCALE H A CMKNGVP D1IL , ATI ANAGRAFICI LOCIARI GUERRIERA <START:DOB> 04041987 <END> M CASTIGLIONE TORINESE  C L CODICE FISCALE 
ICE FISCALE LNMGIU1 8S P XOD , ATI ANAGRAFICI LOCIHI GINEPRA <START:DOB> 09 06 1925 <END> F CASTIGNANO  C B CODICE FISCALE 
ICE FISCALE C 9BDU R1XT AQ6I , ATI ANAGRAFICI LOCOCA GIORGIETTA <START:DOB> 1908 1978 <END> M CASTILENTI  C I CODICE FISCALE 
ICE FISCALE  SLDH I1 X59 K6G , ATI ANAGRAFICI LOCOCO GISLENA <START:DOB> 3 8 7 6 2015 <END> F CASTINO  C E CODICE FISCALE 
ICE FISCALE SZXWLBCT5ER Q AG , ATI ANAGRAFICI LOCONTE GLORIANA <START:DOB> 5 9 8 6 O O O 1  <END> F CASTIONE ANDEVENNO  C T CODICE FISCALE 
ICE FISCALE OYM8HU51  6NKSFB , ATI ANAGRAFICI LOCUSTO GRAZINA <START:DOB> 58311917 <END> F CASTIONE DELLA PRESOLANA  C Z CODICE FISCALE 
ICE FISCALE SVZTM1D QCJ N9YK , ATI ANAGRAFICI LODARO GUERRINA <START:DOB> 3809 1906 <END> F CASTIONS DI STRADA  C H CODICE FISCALE 
ICE FISCALE YO LBUFR JQ1X9HS , ATI ANAGRAFICI LODATO GINETTA <START:DOB>   9O6178243 <END> M CASTIRAGA VIDARDO  C O CODICE FISCALE 
ICE FISCALE  QETC R8 19 H 65 , ATI ANAGRAFICI LODESERTO GIORGINA <START:DOB> 26011940 <END> F CASTO  C S CODICE FISCALE 
ICE FISCALE ER8T X SPLYH6DM1 , ATI ANAGRAFICI LODESTRO GISMONDA <START:DOB> 20 03 1937 <END> F CASTORANO  C R CODICE FISCALE 
ICE FISCALE 8  TXJLQ 9SZHICD , ATI ANAGRAFICI LODIOCONO GLORIETTA <START:DOB> 2910 1947 <END> F CASTREZZATO  K R CODICE FISCALE 
ICE FISCALE XDOZ YT8 6JV U1I , ATI ANAGRAFICI LODOLINI GRAZIOSA <START:DOB> 8 3 6 2 2013 <END> F CASTRI DI LECCE  C N CODICE FISCALE 
ICE FISCALE DU XP  9COQI EG5 , ATI ANAGRAFICI LOFACONO GUGLIELMA <START:DOB> 9 8 2 4 6 0 O 2  <END> F CASTRIGNANO DE' GRECI  E N CODICE FISCALE 
ICE FISCALE 1O NF DZI 9XEQAM , ATI ANAGRAFICI LOFASO GINEVRA <START:DOB> O4151903 <END> M CASTRIGNANO DEL CAPO  F M CODICE FISCALE 
ICE FISCALE OA9TKF CG D NB8U , ATI ANAGRAFICI LOFFARO GIORLANDA <START:DOB> 8613 1914 <END> M CASTRO  F E CODICE FISCALE 
ICE FISCALE 5 WUJ RL  G9  8Y , ATI ANAGRAFICI LOFFREDA GIUDITTA <START:DOB> 82 1 73O 04 <END> F CASTRO  F I CODICE FISCALE 
ICE FISCALE B6XA8E F WZIH OT , ATI ANAGRAFICI LOFFREDO GOFFREDA <START:DOB> 13081978 <END> M CASTRO DEI VOLSCI  F G CODICE FISCALE 
ICE FISCALE FSU9WRH  QP DLMA , ATI ANAGRAFICI LOFORESE GRECA <START:DOB> 30 03 1904 <END> F CASTROCARO TERME E TERRA DEL SOLE  F C CODICE FISCALE 
ICE FISCALE QPNSV 8G  TC MEY , ATI ANAGRAFICI LOGACONO GUGLIELMINA <START:DOB> 1907 1914 <END> F CASTROCIELO  F R CODICE FISCALE 
ICE FISCALE QZR9I 1WP 6K DHM , ATI ANAGRAFICI LOGASONO GINIA <START:DOB> 0 4 3 0 2012 <END> F CASTROFILIPPO  G E CODICE FISCALE 
ICE FISCALE C TDF  ZVNYB ALR , ATI ANAGRAFICI LOGIOVINE GIORLANDINA <START:DOB> O 4 O 0 7 6 7 6  <END> F CASTROLIBERO  G O CODICE FISCALE 
ICE FISCALE ZYG EWKD6NUPI  R , ATI ANAGRAFICI LOGIURATO GIUGNA <START:DOB> 40011918 <END> F CASTRONNO  G R CODICE FISCALE 
ICE FISCALE K5VSZ UMCN Q  LJ , ATI ANAGRAFICI LOGOMARTINO GOITA <START:DOB> 1256 1911 <END> M CASTRONOVO DI SICILIA  I M CODICE FISCALE 
ICE FISCALE 6Q8MOJWA  RK95ZL , ATI ANAGRAFICI LOGRANDE GREGORIA <START:DOB> 8   3  759O4O <END> F CASTRONUOVO DI SANT'ANDREA  I S CODICE FISCALE 
ICE FISCALE XN EILJHWSZGDF 9 , ATI ANAGRAFICI LOGRASSO GUIDA <START:DOB> 17051902 <END> M CASTROPIGNANO  S P CODICE FISCALE 
ICE FISCALE 5A6BHPTLRQXM IDE , ATI ANAGRAFICI LOIACONIO GIOACCHINA <START:DOB> 20 01 1946 <END> M CASTROREALE  A Q CODICE FISCALE 
ICE FISCALE M GBF6JCK8U  L   , ATI ANAGRAFICI LOIACONO GIOSETTA <START:DOB> 3001 1951 <END> M CASTROREGIO  L T CODICE FISCALE 
ICE FISCALE GLQ56JIZYXT8 9HV , ATI ANAGRAFICI LOICANO GIULIA <START:DOB> 0 9 2 1 2006 <END> M CASTROVILLARI  L E CODICE FISCALE 
ICE FISCALE HQEMPL5X B6KDWZA , ATI ANAGRAFICI LOIOCANO GOLIARDA <START:DOB> O 2 1 1 6 O 8 O  <END> M CATANIA  L C CODICE FISCALE 
ICE FISCALE Z  FSXDJL YH8UER , ATI ANAGRAFICI LOJACOMO GREGORINA <START:DOB> OOO91904 <END> F CATANZARO  L I CODICE FISCALE 
ICE FISCALE SIM5CWJ A19ZNGUV , ATI ANAGRAFICI LOJACONO GUIDANTONIA <START:DOB> 18O2 1901 <END> M CATENANUOVA  L O CODICE FISCALE 
ICE FISCALE ZQN UA6TXFJ  GRE , ATI ANAGRAFICI LOLITO GIOACHINA <START:DOB>  O705  28431 <END> F CATIGNANO  L U CODICE FISCALE 
ICE FISCALE JAQZX8HE1FO  L59 , ATI ANAGRAFICI LOLLA GIOVACCHINA <START:DOB> 06041917 <END> M CATTOLICA  M C CODICE FISCALE 
ICE FISCALE SI1   CGKVU R 5N , ATI ANAGRAFICI LOLLOIETA GIULIANA <START:DOB> 08 11 1902 <END> M CATTOLICA ERACLEA  M N CODICE FISCALE 
ICE FISCALE FZ N9A586KD  YMV , ATI ANAGRAFICI LOMANTO GONARIA <START:DOB> 2008 1919 <END> F CAULONIA  M S CODICE FISCALE 
ICE FISCALE ZKUING H6QYTP  M , ATI ANAGRAFICI LOMARZO GRETA <START:DOB> 0 0 8 O 2015 <END> M CAUTANO  M T CODICE FISCALE 
ICE FISCALE 9V 8N6L EC KWPXZ , ATI ANAGRAFICI LOMBARDI GUIDETTA <START:DOB> 6 3 7 4 O 9 4 3  <END> F CAVA DE' TIRRENI  V S CODICE FISCALE 
ICE FISCALE JUN D YEL9T8 AV5 , ATI ANAGRAFICI LOMBARDIE GIOCONDA <START:DOB> 122O1906 <END> F CAVA MANARA  M E CODICE FISCALE 
ICE FISCALE  L8CZTS9FR WMAU  , ATI ANAGRAFICI LOMBARDINO GIOVANCARLA <START:DOB> O373 1910 <END> M CAVAGLIÀ  M I CODICE FISCALE 
ICE FISCALE T 5EABKXHZMYP 6I , ATI ANAGRAFICI LOMBARDO GIULIANELLA <START:DOB> 43162    87 O <END> F CAVAGLIETTO  M O CODICE FISCALE 
ICE FISCALE GHX EMCN5Q1BRF8S , ATI ANAGRAFICI LOMBARDONI GONDAR <START:DOB> 04061953 <END> M CAVAGLIO D'AGOGNA  M B CODICE FISCALE 
ICE FISCALE TABC6V Z UFJYWD9 , ATI ANAGRAFICI LOMBARETO GRIMALDA <START:DOB> 27 01 1912 <END> F CAVAGNOLO  N A CODICE FISCALE 
ICE FISCALE 6 1SCPZFYTXBMJK5 , ATI ANAGRAFICI LOMONTE GUIDINA <START:DOB> 2301 1940 <END> M CAVAION VERONESE  N O CODICE FISCALE 
ICE FISCALE SI CVW B LNTZ6F  , ATI ANAGRAFICI LOMORDI GIOCONDINA <START:DOB> O 1 O O 2009 <END> F CAVALESE  N U CODICE FISCALE 
ICE FISCALE D8QO ZBFCEG PSHN , ATI ANAGRAFICI LOMUSCIO GIOVANNA <START:DOB> O 8 1 O O 4 8 6  <END> M CAVALLERLEONE  O G CODICE FISCALE 
ICE FISCALE 9 1HP RQ6V KBOD  , ATI ANAGRAFICI LONARDO GIULIETTA <START:DOB> 36801910 <END> F CAVALLERMAGGIORE  O T CODICE FISCALE 
ICE FISCALE MS WE9BR1  YVH5  , ATI ANAGRAFICI LONATO GORDIANA <START:DOB> O042 1918 <END> F CAVALLINO  O R CODICE FISCALE 
ICE FISCALE  HNEQV CJM8RY  1 , ATI ANAGRAFICI LONEORITE GRIMOALDA <START:DOB>  6807 O3241 <END> M CAVALLINO-TREPORTI  P D CODICE FISCALE 
ICE FISCALE A FRM86E JZNYD K , ATI ANAGRAFICI LONGINOTTI GUSMANA <START:DOB> 10031995 <END> F CAVALLIRIO  P A CODICE FISCALE 
ICE FISCALE JMO5TLW8HK ABVFI , ATI ANAGRAFICI LONGO GIOELA <START:DOB> 01 10 1972 <END> F CAVARENO  P R CODICE FISCALE 
ICE FISCALE 9I6YQXE RTFWO  U , ATI ANAGRAFICI LOPARDO GIOVANNANGELA <START:DOB> 1309 1999 <END> F CAVARGNA  P V CODICE FISCALE 
ICE FISCALE DOKQ5 I9L AZ TNY , ATI ANAGRAFICI LOPERFIDO GIULIVA <START:DOB> 0 5 7 3 2002 <END> M CAVARIA CON PREMEZZO  P G CODICE FISCALE 
ICE FISCALE X6BTNW G JSHAFQ  , ATI ANAGRAFICI LOPEZ GORETTA <START:DOB> 2 1 6 3 0 5 O O  <END> M CAVARZERE  P U CODICE FISCALE 
ICE FISCALE  8Y1QVZP 9 6NTLD , ATI ANAGRAFICI LOPICOLO GRISELDA <START:DOB> 31O11905 <END> F CAVASO DEL TOMBA  P E CODICE FISCALE 
ICE FISCALE X IUFEMZHN8WKCJT , ATI ANAGRAFICI LOPILOTO GUSTAVA <START:DOB> 7458 1900 <END> M CAVASSO NUOVO  P C CODICE FISCALE 
ICE FISCALE NRX615 HE ZQAY   , ATI ANAGRAFICI LOPISERA GIOELLA <START:DOB>   63O17 O8240 <END> F CAVATORE  P I CODICE FISCALE 
ICE FISCALE VZ9UW N 1 JE OKQ , ATI ANAGRAFICI LOPO GIOVANNANTONIA <START:DOB> 30051921 <END> M CAVAZZO CARNICO  P T CODICE FISCALE 
ICE FISCALE EL 9S 8ZMNR1JUG  , ATI ANAGRAFICI LOPOESTI GIUNIA <START:DOB> 16 06 1950 <END> F CAVE  P N CODICE FISCALE 
ICE FISCALE G8ZJPK5MVX FR  T , ATI ANAGRAFICI LOPORIARO GORINA <START:DOB> 0303 1930 <END> M CAVEDAGO  P Z CODICE FISCALE 
ICE FISCALE  H9 6ELNDG8ZW KS , ATI ANAGRAFICI LOPORTO GUADALUPE <START:DOB> 4 3 5 6 2011 <END> M CAVEDINE  P O CODICE FISCALE 
ICE FISCALE N1XSRUY DEFT8CV  , ATI ANAGRAFICI LOPRETE GIOIA <START:DOB> O 4 0 O 1 7 3 4  <END> M CAVENAGO D'ADDA  R G CODICE FISCALE 
ICE FISCALE JV PU ODZMF9N KG , ATI ANAGRAFICI LOPUZZA GIOVANNELLA <START:DOB> O4101904 <END> F CAVENAGO DI BRIANZA  R A CODICE FISCALE 
ICE FISCALE  E1UMRK NAO9ISTQ , ATI ANAGRAFICI LORACORCO GIUNTA <START:DOB> 7354 1919 <END> F CAVERNAGO  R C CODICE FISCALE 
ICE FISCALE  VITO D J 6KUPMW , ATI ANAGRAFICI LORDANCI GORIZIA <START:DOB> 8  O91 43062 <END> F CAVEZZO  R E CODICE FISCALE 
ICE FISCALE S HFCLJNWAR KE16 , ATI ANAGRAFICI LORDI GUALBERTA <START:DOB> 10011977 <END> M CAVIZZANA  R I CODICE FISCALE 
ICE FISCALE D5 CQJ LROV8NUFZ , ATI ANAGRAFICI LORDOVA GIOIELLA <START:DOB> 24 11 1925 <END> F CAVOUR  R N CODICE FISCALE 
ICE FISCALE SVQLUT1HN BF6I   , ATI ANAGRAFICI LORENO GIOVANNICA <START:DOB> 1111 1995 <END> M CAVRIAGO  R M CODICE FISCALE 
ICE FISCALE ADYUXVQN 8CJPB1F , ATI ANAGRAFICI LORENZETTI GIUSEPPA <START:DOB> 5 8 5 9 2015 <END> F CAVRIANA  R O CODICE FISCALE 
ICE FISCALE F CQAN8SO5K XMJ  , ATI ANAGRAFICI LORENZETTO GOTTARDA <START:DOB> 2 4 9 7 2 7 8 O  <END> M CAVRIGLIA  S A CODICE FISCALE 
ICE FISCALE YS6T1 W5GU8ZNXBO , ATI ANAGRAFICI LORENZI GUALTIERA <START:DOB> 28491903 <END> M CAZZAGO BRABBIA  S S CODICE FISCALE 
ICE FISCALE 6TR UF5VS1CO LYH , ATI ANAGRAFICI LORENZO GIOIETTA <START:DOB> 90O4 1908 <END> F CAZZAGO SAN MARTINO  S V CODICE FISCALE 
ICE FISCALE  UE5HS 1KPW 6Y C , ATI ANAGRAFICI LORENZO GIOVANNINA <START:DOB> 83 9 60 7O  2 <END> F CAZZANO DI TRAMIGNA  S I CODICE FISCALE 
ICE FISCALE T VZ1HRK QFI5M O , ATI ANAGRAFICI LORETO GIUSEPPINA <START:DOB> 17061929 <END> M CAZZANO SANT'ANDREA  S R CODICE FISCALE 
ICE FISCALE  YPALZ KF8WC5X6Q , ATI ANAGRAFICI LORETTA GOTTARDINA <START:DOB> 12 06 1970 <END> F CECCANO  S O CODICE FISCALE 
ICE FISCALE  FRWG  OHTKAS BZ , ATI ANAGRAFICI LORINO GUALTIERINA <START:DOB> 1507 1902 <END> M CECIMA  T A CODICE FISCALE 
ICE FISCALE 8A B 1KCFLXEUMO9 , ATI ANAGRAFICI LORINOI HELGA <START:DOB> 5 4 2 9 2004 <END> F CECINA  T E CODICE FISCALE 
ICE FISCALE  6  8SCQYHU BOGL , ATI ANAGRAFICI LORIO IA <START:DOB> O 6 5 O 3 0 7 3  <END> F CEDEGOLO  T R CODICE FISCALE 
ICE FISCALE YCIV8W5NG6JE  DU , ATI ANAGRAFICI LORISO IDILLIA <START:DOB> O8OO1914 <END> M CEDRASCO  T P CODICE FISCALE 
ICE FISCALE JC FTWNUM  IGPE  , ATI ANAGRAFICI LOROC ILIA <START:DOB> OOO0 1902 <END> F CEFALÀ DIANA  T N CODICE FISCALE 
ICE FISCALE  CH WJBOX9Z6PGVM , ATI ANAGRAFICI LOROI LORTOROI IMPERIA <START:DOB> 93 45O2O 607  <END> F CEFALÙ  T V CODICE FISCALE 
ICE FISCALE 6PZYGBA X8V J KM , ATI ANAGRAFICI LOSANA IOLETTA <START:DOB> 11051903 <END> F CEGGIA  T S CODICE FISCALE 
ICE FISCALE HSYL VOFIQ6NCZR8 , ATI ANAGRAFICI LOSANESE ISANNA <START:DOB> 06 09 1984 <END> F CEGLIE MESSAPICA  T O CODICE FISCALE 
ICE FISCALE D Y XB WRCQVU1FS , ATI ANAGRAFICI LOSANTO IACOBELLA <START:DOB> 1108 1926 <END> M CELANO  U D CODICE FISCALE 
ICE FISCALE WSR6  1OL HEDFGX , ATI ANAGRAFICI LOSCHI IDINA <START:DOB> 8 8 4 4 2015 <END> M CELENZA SUL TRIGNO  V A CODICE FISCALE 
ICE FISCALE D VM X A1 CKPEY8 , ATI ANAGRAFICI LOSITO ILIADE <START:DOB> 9 3 5 5 3 1 7 0  <END> M CELENZA VALFORTORE  V E CODICE FISCALE 
ICE FISCALE YMEDZ  RUTG9WJLI , ATI ANAGRAFICI LOTIERZO IMPERIALE <START:DOB> O5721911 <END> F CELICO  V B CODICE FISCALE 
ICE FISCALE YL6IHRMAKUX5 O 8 , ATI ANAGRAFICI LOTITO IONA <START:DOB> 3O04 1908 <END> M CELLA DATI  V C CODICE FISCALE 
ICE FISCALE  1 WABEMOSHCP  8 , ATI ANAGRAFICI LOTOSCO ISAURA <START:DOB> 57O8 29  O04 <END> M CELLA MONTE  V R CODICE FISCALE 
ICE FISCALE  JLUZHDB QIYP5K9 , ATI ANAGRAFICI LOTTERINGHI IACOPA <START:DOB> 19041973 <END> M CELLAMARE  V V CODICE FISCALE 
ICE FISCALE ID9F Y6K8B1WZC   , ATI ANAGRAFICI LOTTO IDOLA <START:DOB> 06 06 1915 <END> M CELLARA  V I CODICE FISCALE 
ICE FISCALE V9JD8GS 5AI  C Q , ATI ANAGRAFICI LOURO ILIANA <START:DOB> 2506 1974 <END> F CELLARENGO  V T CODICE FISCALE 
ICE FISCALE E1VMX6FT W8G PZ  , ATI ANAGRAFICI LOVALLO INA <START:DOB> 7 O 1 9 2003 <END> F CELLATICA  A G CODICE FISCALE 
ICE FISCALE F  SRLCJVQ HW581 , ATI ANAGRAFICI LOVATELLI IONE <START:DOB> 6 6 3 O 3 O O O  <END> M CELLE DI BULGHERIA  A L CODICE FISCALE 
ICE FISCALE  81N VUXYIC9FKOZ , ATI ANAGRAFICI LOVERSO ISEA <START:DOB> O8O81901 <END> M CELLE DI MACRA  A N CODICE FISCALE 
ICE FISCALE MKP DW  TA9HYE6L , ATI ANAGRAFICI LOVETO IACOPINA <START:DOB> 4023 1903 <END> F CELLE DI SAN VITO  A O CODICE FISCALE 
ICE FISCALE KA6J Z8XNQW15P U , ATI ANAGRAFICI LOVETTO IDOLINA <START:DOB> O48 21 076  <END> F CELLE ENOMONDO  A R CODICE FISCALE 
ICE FISCALE 9XSOJN  YACEF 8  , ATI ANAGRAFICI LOVITO ILIDE <START:DOB> 19101944 <END> M CELLE LIGURE  A P CODICE FISCALE 
ICE FISCALE YZWXJ ESCFVU8  A , ATI ANAGRAFICI LOVOC INCARNATA <START:DOB> 08 11 1994 <END> F CELLENO  A T CODICE FISCALE 
ICE FISCALE  SATX U6HOEL5JIK , ATI ANAGRAFICI LOVOI IONIA <START:DOB> 1304 1959 <END> F CELLERE  A V CODICE FISCALE 
ICE FISCALE NFA 5OW P  X EYM , ATI ANAGRAFICI LOVOI/ ISELDA <START:DOB> O 0 4 6 2018 <END> F CELLINO ATTANASIO  B A CODICE FISCALE 
ICE FISCALE 9 5RNG HBWFQ CME , ATI ANAGRAFICI LOVOR IAELE <START:DOB> 5 0 6 8 3 1 3 0  <END> F CELLINO SAN MARCO  B T CODICE FISCALE 
ICE FISCALE ASIGBTKP1DHO QVC , ATI ANAGRAFICI LOVTONA IELLA <START:DOB> 00611912 <END> M CELLIO CON BREIA  B L CODICE FISCALE 
ICE FISCALE TGX M56VJ 98ODCP , ATI ANAGRAFICI LOYACONO ILLA <START:DOB> 8473 1916 <END> M CELLOLE  B N CODICE FISCALE 
ICE FISCALE 9JVFEZ QDB  8WMA , ATI ANAGRAFICI LOYRASINA INCARNAZIONE <START:DOB>  3 O  9 8O147 <END> M CEMBRA LISIGNAGO  B G CODICE FISCALE 
ICE FISCALE DYNRAEKVCHTXMW P , ATI ANAGRAFICI LOZIO IOSELLA <START:DOB> 09111961 <END> F CENADI  B I CODICE FISCALE 
ICE FISCALE MNBHOF J6ZD1ESIA , ATI ANAGRAFICI LOZZI ISELDE <START:DOB> 19 04 1943 <END> M CENATE SOPRA  B O CODICE FISCALE 
ICE FISCALE IEXYCV 9FD A5QHG , ATI ANAGRAFICI LUAMBRE LUBORNANO IANA <START:DOB> 2405 1929 <END> M CENATE SOTTO  B Z CODICE FISCALE 
ICE FISCALE QDKMJRSZ OV8NPIU , ATI ANAGRAFICI LUCA IETTA <START:DOB> 9 4 1 2 2014 <END> F CENCENIGHE AGORDINO  B S CODICE FISCALE 
ICE FISCALE R9 QYJ DLNVZBESK , ATI ANAGRAFICI LUCABELLO ILLEANA <START:DOB> 5 8 0 9 0 4 8 8  <END> F CENE  B R CODICE FISCALE 
ICE FISCALE RX POBSTEGIDLAJ6 , ATI ANAGRAFICI LUCANA INCORONATA <START:DOB> O60O1910 <END> M CENESELLI  C A CODICE FISCALE 
ICE FISCALE AMEUF 9C1GO S WZ , ATI ANAGRAFICI LUCARELL IOVINA <START:DOB> OOO4 1902 <END> M CENGIO  C L CODICE FISCALE 
ICE FISCALE UG 6MI VL  YPCXK , ATI ANAGRAFICI LUCARINI ISELLA <START:DOB> 43O9O68  07   <END> F CENTALLO  C B CODICE FISCALE 
ICE FISCALE JM FI5SC DTYRBWK , ATI ANAGRAFICI LUCCA IANNA <START:DOB> 25031970 <END> M CENTO  C I CODICE FISCALE 
ICE FISCALE IJMWUB9YEFD186 5 , ATI ANAGRAFICI LUCCHESI IFIGENIA <START:DOB> 06 05 1907 <END> F CENTOLA  C E CODICE FISCALE 
ICE FISCALE WGX6JR OAE   KT  , ATI ANAGRAFICI LUCCI ILLIA <START:DOB> 0502 1983 <END> F CENTRACHE  C T CODICE FISCALE 
ICE FISCALE AHCQU6ZD K89SRVE , ATI ANAGRAFICI LUCCIA INDIA <START:DOB> 6 8 0 7 2004 <END> F CENTRO VALLE INTELVI  C Z CODICE FISCALE 
ICE FISCALE MFT51R8 G9HQN PZ , ATI ANAGRAFICI LUCCIOLA IPPAZIA <START:DOB> 1 1 9 6 4 O 6 2  <END> F CENTURIPE  C H CODICE FISCALE 
ICE FISCALE HYN1WXE6VR  5TFQ , ATI ANAGRAFICI LUCCION ISETTA <START:DOB> 6O351918 <END> M CEPAGATTI  C O CODICE FISCALE 
ICE FISCALE  YSAMDV5 B8E Z X , ATI ANAGRAFICI LUCCITTI ICA <START:DOB> 28O4 1908 <END> M CEPPALONI  C S CODICE FISCALE 
ICE FISCALE FJHWEDO LZG8C6UK , ATI ANAGRAFICI LUCCO IGEA <START:DOB> 0O87  19 6 45 <END> F CEPPO MORELLI  C R CODICE FISCALE 
ICE FISCALE 8H A6WEFBPLGCKSQ , ATI ANAGRAFICI LUCELATORE ILLIDE <START:DOB> 29101965 <END> F CEPRANO  K R CODICE FISCALE 
ICE FISCALE PD6  WNC98BLJRTV , ATI ANAGRAFICI LUCENTEFORTE INELDA <START:DOB> 12 11 1991 <END> M CERAMI  C N CODICE FISCALE 
ICE FISCALE 1DJ LUNKA MEXVWS , ATI ANAGRAFICI LUCENTI IPPOLITA <START:DOB> 0209 1986 <END> F CERANESI  E N CODICE FISCALE 
ICE FISCALE I YNZKCTU8LXQ OJ , ATI ANAGRAFICI LUCERNARI ISIDA <START:DOB> 3 2 4 6 2018 <END> F CERANO  F M CODICE FISCALE 
