CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCAL BKSIYE RA8O W DX DATI ANAGRAFICI PUZIO BATTISTI 15101950  CODICE FISCALE 
CODICE FISCAL S65BO UWD CKN9 Y DATI ANAGRAFICI PUZZINELLI BATTISTRADA 05 01 1989  CODICE FISCALE 
CODICE FISCAL KXCA F96GJOIDB   DATI ANAGRAFICI PUZZO BATTISTUTA 2902 1996  CODICE FISCALE 
CODICE FISCAL A89NJSPIZBH   OM DATI ANAGRAFICI PUZZONE BATTO 2 1 1 O 2008  CODICE FISCALE 
CODICE FISCAL  RCHA JOLBTD8P 5 DATI ANAGRAFICI PUZZOSO BAUDI 9 0 O 2 0 8 6 O   CODICE FISCALE 
CODICE FISCAL BFCKMW ZU5 9 8 V DATI ANAGRAFICI QUADRARO BAUGALUPO 45311904  CODICE FISCALE 
CODICE FISCAL IMW A8XHDUO16 E  DATI ANAGRAFICI QUADRELLO BAUZZINO 1897 1908  CODICE FISCALE 
CODICE FISCAL  18NJFWHVGDILURO DATI ANAGRAFICI QUADRETTI BAVARIA 8 9O4 52 3O7  CODICE FISCALE 
CODICE FISCAL JFDIXH  GLNQY P  DATI ANAGRAFICI QUADRI DELL’ORTO BAVIERA 22011936  CODICE FISCALE 
CODICE FISCAL  OGHMXC B LW8 1U DATI ANAGRAFICI QUADRUPANI BAVOSA 28 11 1934  CODICE FISCALE 
CODICE FISCAL JE9 WUGT5R6AIS8L DATI ANAGRAFICI QUAGLIA BAVOSO 1601 1923  CODICE FISCALE 
CODICE FISCAL AR UI 51F Q8BTKG DATI ANAGRAFICI QUAGLIERI BAVUSI 9 5 9 3 2011  CODICE FISCALE 
CODICE FISCAL MU TOIYZXNVFGWPB DATI ANAGRAFICI QUAINO BAVUSO 7 O 9 9 O 3 4 O   CODICE FISCALE 
CODICE FISCAL JQSOP6MCZ WYI 81 DATI ANAGRAFICI QUINZIO BAZANI 69O91905  CODICE FISCALE 
CODICE FISCAL JVA5S I T9NWH PX DATI ANAGRAFICI QUIRINI BAZILE 96O2 1908  CODICE FISCALE 
CODICE FISCAL IWY G LK9 E6V T  DATI ANAGRAFICI QUISSI BAZZA 765O   2108  CODICE FISCALE 
CODICE FISCAL UKAMTI JVSXNB8PR DATI ANAGRAFICI RABAJOLI BAZZANELLI 24011903  CODICE FISCALE 
CODICE FISCAL F XSHE18Y DK QR5 DATI ANAGRAFICI RABASCA BAZZANI 23 01 1963  CODICE FISCALE 
CODICE FISCAL  IT G B9O EJYLP5 DATI ANAGRAFICI RABBENO BAZZI 1408 1978  CODICE FISCALE 
CODICE FISCAL C9 ZBRJ MPNGVKW  DATI ANAGRAFICI RABBIOSI BAZZO 8 0 O O 2001  CODICE FISCALE 
CODICE FISCAL ULMVJY I D NRCXT DATI ANAGRAFICI RABBITO BEATI 7 2 6 7 3 7 5 6   CODICE FISCALE 
CODICE FISCAL X5JI F1NP8 Z6Y Q DATI ANAGRAFICI RABBIZZANI BEAUSONE 12061913  CODICE FISCALE 
CODICE FISCAL TIKO9RZWHBVNE8QS DATI ANAGRAFICI RABUFFATI BECAFIGO 17O6 1905  CODICE FISCALE 
CODICE FISCAL DWAR GSU1T9INVY  DATI ANAGRAFICI RACA BECCADELLI 4 6O83O10  2  CODICE FISCALE 
CODICE FISCAL N9Z5DJU81 TE FQ6 DATI ANAGRAFICI RACANA BECCAFAVA 01081955  CODICE FISCALE 
CODICE FISCAL X G CYIOJSPD1HZL DATI ANAGRAFICI RACANELLI BECCAFIGO 16 10 1974  CODICE FISCALE 
CODICE FISCAL W PT HI BDO8CXR5 DATI ANAGRAFICI RACANO BECCAIO 2808 1991  CODICE FISCALE 
CODICE FISCAL S 6I VWUCFL B NH DATI ANAGRAFICI RACCA BECCALOSSO 0 O 6 O 2001  CODICE FISCALE 
CODICE FISCAL A9RBYE6V I LG1XT DATI ANAGRAFICI RACCHIUSO BECCALUVA O 2 8 2 5 7 7 3   CODICE FISCALE 
CODICE FISCAL CV1I  K ZS NO8QX DATI ANAGRAFICI RACCIO BECCAMORTO 55O51917  CODICE FISCALE 
CODICE FISCAL HNE WLGJXK  Q9 T DATI ANAGRAFICI RACCIOPPI BECCARIA 7658 1918  CODICE FISCALE 
CODICE FISCAL EH JRVSIP158F YT DATI ANAGRAFICI RACCUZZO BECCARO 86 93102 5   CODICE FISCALE 
CODICE FISCAL E9 KYJOAMGDS X H DATI ANAGRAFICI RACHELI BECCERONI 23061980  CODICE FISCALE 
CODICE FISCAL  T CM8KFJE6AYIZ  DATI ANAGRAFICI RACITI BECCHERI 30 05 1927  CODICE FISCALE 
CODICE FISCAL BW ZS8KD6YLX9NEU DATI ANAGRAFICI RACO BECCHERINI 3011 1904  CODICE FISCALE 
CODICE FISCAL T IB JRMX NQDUAO DATI ANAGRAFICI RACS BECCHETTI O 2 O O 2005  CODICE FISCALE 
CODICE FISCAL CXIGVBPD RYOSF K DATI ANAGRAFICI RADICCI BECCHI 2 8 O O 5 8 9 3   CODICE FISCALE 
CODICE FISCAL BCNT8  KG MDEY5P DATI ANAGRAFICI RADOSTA BECCI 36461913  CODICE FISCALE 
CODICE FISCAL J 6B8ROAGZDKSIP5 DATI ANAGRAFICI RADOSTI BECCIO 0730 1900  CODICE FISCALE 
CODICE FISCAL NPXRLJU QTF61 BH DATI ANAGRAFICI RAFANELLI BECCO  O5 29O  47   CODICE FISCALE 
CODICE FISCAL G  H98RD VUL1PJS DATI ANAGRAFICI RAFFAELE BECHELLI 11061911  CODICE FISCALE 
CODICE FISCAL XB QLGIFH9DW8NOS DATI ANAGRAFICI RAFFAGININO BECHI 23 10 1929  CODICE FISCALE 
CODICE FISCAL YP1UD EJKV9INA6G DATI ANAGRAFICI RAFIA BEDOLLA 1310 1916  CODICE FISCALE 
CODICE FISCAL 1T8O EXD HL PGQN DATI ANAGRAFICI RAFICA BEFANI 6 7 6 3 2014  CODICE FISCALE 
CODICE FISCAL SATB9MN V UZF6E  DATI ANAGRAFICI RAGANA BEGHÈ 3 8 5 O 5 O 1 8   CODICE FISCALE 
CODICE FISCAL 5I KTEMZCA LB6YF DATI ANAGRAFICI RAGANELLI BEGHINI 140O1903  CODICE FISCALE 
CODICE FISCAL JK96FIAX 18S W H DATI ANAGRAFICI RAGANO BEHANELLA 7955 1914  CODICE FISCALE 
CODICE FISCAL NQFB DUR XIM WT6 DATI ANAGRAFICI RAGASUO BELANTE 07 O26  39O1   CODICE FISCALE 
CODICE FISCAL  UC8  1MIFW R E5 DATI ANAGRAFICI RAGAZZI BELCASTRO 20071921  CODICE FISCALE 
CODICE FISCAL EDKBQH L8F1  PZI DATI ANAGRAFICI RAGAZZINI BELCAVELLO 29 04 1941  CODICE FISCALE 
CODICE FISCAL NO6ET SK HRMU8X  DATI ANAGRAFICI RAGGHIANTI BELELLO 0904 1927  CODICE FISCALE 
CODICE FISCAL  QAGDFIT9M Z RWU DATI ANAGRAFICI RAGGIA BELFANTE O 9 O 9 2013  CODICE FISCALE 
CODICE FISCAL EOKIDT  L9FW  XG DATI ANAGRAFICI RAGGIO BELFI 5 2 3 6 O 0 2 3   CODICE FISCALE 
CODICE FISCAL RUM E59ASZFOLV D DATI ANAGRAFICI RAGIONIERI BELFIGLIO 107O1914  CODICE FISCALE 
CODICE FISCAL KI98ATGQLMNWHZ5F DATI ANAGRAFICI RAGNINI BELFIORE 371O 1912  CODICE FISCALE 
CODICE FISCAL  8 YP  H1N 5VIGT DATI ANAGRAFICI RAGNO BELFORTE 923 45O O6 0  CODICE FISCALE 
CODICE FISCAL  G5PB Z XRIDLH K DATI ANAGRAFICI RAGONESI BELGIO 30071931  CODICE FISCALE 
CODICE FISCAL NQOBHXZ PD MW L9 DATI ANAGRAFICI RAGOSO BELGIOVINE 11 04 1981  CODICE FISCALE 
CODICE FISCAL I8Q1MV9HOLR6KUZP DATI ANAGRAFICI RAGOSTA BELGRADO 2506 1970  CODICE FISCALE 
CODICE FISCAL I8VFRH  QSUWNZPY DATI ANAGRAFICI RAGUA BELICI 5 4 4 4 2004  CODICE FISCALE 
CODICE FISCAL 6RCNV  HFTM5BY G DATI ANAGRAFICI RAGUSA BELINI 8 6 O 6 O 0 2 2   CODICE FISCALE 
CODICE FISCAL TV9 JQSXLK RA5PO DATI ANAGRAFICI RAGUSE BELLABOCCA 69641912  CODICE FISCALE 
CODICE FISCAL SMCB A UOIL91Y5  DATI ANAGRAFICI RAGUSEO BELLACCHINO 0OOO 1911  CODICE FISCALE 
CODICE FISCAL QWNY 5JM RP Z8GT DATI ANAGRAFICI RAIA BELLACHIOMA  4  3920O 6  CODICE FISCALE 
CODICE FISCAL 8K V1 W AB 6 TEO DATI ANAGRAFICI RAIMONDI BELLACREA 10081981  CODICE FISCALE 
CODICE FISCAL Z1P6YREJGNVIA SW DATI ANAGRAFICI RAINA BELLADONNA 16 04 1967  CODICE FISCALE 
CODICE FISCAL SZ F6XQEGJ MH8K  DATI ANAGRAFICI RAINARDI BELLAFIORI 2605 1975  CODICE FISCALE 
CODICE FISCAL IF9A VR WZX T 5O DATI ANAGRAFICI RAINIERI BELLAGAMBI 7 9 2 3 2003  CODICE FISCALE 
CODICE FISCAL    I6QJ  9FOUENX DATI ANAGRAFICI RAINONE BELLAGRANDE 0 4 O 7 2 7 8 3   CODICE FISCALE 
CODICE FISCAL DZ XSTK V9EGQH1B DATI ANAGRAFICI RAINUCCI BELLAMO 88461904  CODICE FISCALE 
CODICE FISCAL 5M81 6Y9ZXC HPT  DATI ANAGRAFICI RAIOLA BELLAMORE 6482 1910  CODICE FISCALE 
CODICE FISCAL  SJIBM A9Z5DKU8L DATI ANAGRAFICI RAJNA BELLANCA 5 O10 3 4 O8  CODICE FISCALE 
CODICE FISCAL E UC9ONSQWKFJ 1T DATI ANAGRAFICI RALAMO BELLANIMA 23051974  CODICE FISCALE 
CODICE FISCAL PYQ L8BE6RCFW J5 DATI ANAGRAFICI RALLI BELLANTONIO 07 10 1984  CODICE FISCALE 
CODICE FISCAL TMRZ 5A OIEH6K1X DATI ANAGRAFICI RAMALLO BELLARDELLO 0611 1906  CODICE FISCALE 
CODICE FISCAL GOCSDU Z  T M9JX DATI ANAGRAFICI RAMBALDI BELLARDI 6 1 6 0 2019  CODICE FISCALE 
CODICE FISCAL  6E L YFNHOSXI5J DATI ANAGRAFICI RAMCIS BELLARIO 6 8 2 O 3 4 9 3   CODICE FISCALE 
CODICE FISCAL TUNR9 L1  5GPDV8 DATI ANAGRAFICI RAMETTA BELLAROSA 297O1907  CODICE FISCALE 
CODICE FISCAL QG H N DR FA5U9E DATI ANAGRAFICI RAMORINI BELLATRECCIA 0082 1900  CODICE FISCALE 
CODICE FISCAL W SL5GXJCOVYT81D DATI ANAGRAFICI RAMPICHINI BELLE  07  1598O O  CODICE FISCALE 
CODICE FISCAL UR5X OE K9HMBYP8 DATI ANAGRAFICI RAMPINELLI BELLEI 07011962  CODICE FISCALE 
CODICE FISCAL 5WJIY Z6LCABDX G DATI ANAGRAFICI RAMPONI BELLELLI 05 07 1939  CODICE FISCALE 
CODICE FISCAL  B6HGX ZA 5VFDES DATI ANAGRAFICI RAMUNDO BELLENETTO 2501 1916  CODICE FISCALE 
CODICE FISCAL WG J9ZSTX6RMBF8  DATI ANAGRAFICI RANA BELLEZZA O 7 6 6 2004  CODICE FISCALE 
CODICE FISCAL D X8FWO VHMRB UP DATI ANAGRAFICI RANALLI BELLI 9 O 5 5 3 0 7 0   CODICE FISCALE 
CODICE FISCAL INOQRKGJYBD9 A C DATI ANAGRAFICI RANALLO BELLIBONI 05471900  CODICE FISCALE 
CODICE FISCAL U QBMK  9GNW6XSC DATI ANAGRAFICI RANCONI BELLICI 78O8 1919  CODICE FISCALE 
CODICE FISCAL YBECQ JO1DNMI98L DATI ANAGRAFICI RANDAZZO BELLIGERANTI 7189  03 O642  CODICE FISCALE 
CODICE FISCAL O RYN6UADMT9VCXK DATI ANAGRAFICI RANDERPO BELLINI 04061909  CODICE FISCALE 
CODICE FISCAL  RQ9O1IKW BU SP8 DATI ANAGRAFICI RANDESI BELLINO 26 10 1991  CODICE FISCALE 
CODICE FISCAL C98PF TXODH  M5A DATI ANAGRAFICI RANDISI BELLIPANNI 1403 1973  CODICE FISCALE 
CODICE FISCAL FVDU8WEZYO6XTS5  DATI ANAGRAFICI RANDO BELLISSIMO O 7 7 1 2007  CODICE FISCALE 
CODICE FISCAL 98 1YFSVHU5T ZOM DATI ANAGRAFICI RANDONE BELLO 0 4 6 6 0 0 0 5   CODICE FISCALE 
CODICE FISCAL A 1ZGS9 U J XK R DATI ANAGRAFICI RANELLI BELLOCCHIO 40971908  CODICE FISCALE 
CODICE FISCAL R9 XVLT WKQMAG1B DATI ANAGRAFICI RANGHETTI BELLOFATTO 913O 1907  CODICE FISCALE 
CODICE FISCAL YW D ATBSKX RF6I DATI ANAGRAFICI RANGO BELLOME 521 O 8 903 O  CODICE FISCALE 
CODICE FISCAL L6YWD CX BV ANQ8 DATI ANAGRAFICI RANGONE BELLOMO 15051941  CODICE FISCALE 
CODICE FISCAL ZLJPEC RTV B 18F DATI ANAGRAFICI RANIOLI BELLONI 27 02 1994  CODICE FISCALE 
CODICE FISCAL   RFMZJSQYN9DBLW DATI ANAGRAFICI RANNO BELLUCIO 1109 1977  CODICE FISCALE 
CODICE FISCAL P  5J B9IDHF XO8 DATI ANAGRAFICI RANOCCHIO BELLUSCI 5 4 2 1 2011  CODICE FISCALE 
CODICE FISCAL VSUGK F  1Q9BLMZ DATI ANAGRAFICI RANSI BELLUTO 3 1 0 4 1 6 8 5   CODICE FISCALE 
CODICE FISCAL 6MDKCUEL HYFORWA DATI ANAGRAFICI RANSOME BELPANNO 62441913  CODICE FISCALE 
CODICE FISCAL VKHO J NL85ZWG I DATI ANAGRAFICI RANZETTI BELSITI 8613 1905  CODICE FISCALE 
CODICE FISCAL D6KX59GQRMOYU  N DATI ANAGRAFICI RANZI BELTRAMELLO 3  2O974 06 1  CODICE FISCALE 
CODICE FISCAL UMN  GVO CTZ  SP DATI ANAGRAFICI RANZOLI BELVISO 23071982  CODICE FISCALE 
CODICE FISCAL Y5KJXGWLUHA16Q E DATI ANAGRAFICI RAPACCIOLI BELVISOTTI 17 01 1908  CODICE FISCALE 
CODICE FISCAL S XHDMELUGVWK9T5 DATI ANAGRAFICI RAPAGNETTA BELZOPPI 0810 1986  CODICE FISCALE 
CODICE FISCAL  LET  5JMRFCSH A DATI ANAGRAFICI RAPOLLA BEMANELLA O 1 O 3 2008  CODICE FISCALE 
CODICE FISCAL S  YUXRPVTN8OM L DATI ANAGRAFICI RAPOSA BENAMATO 4 5 5 7 4 3 7 O   CODICE FISCALE 
CODICE FISCAL X9POHGREZLI YATN DATI ANAGRAFICI RAPPA BENANNO O84O1900  CODICE FISCALE 
CODICE FISCAL K BQOX EVZJHA R9 DATI ANAGRAFICI RAPPOBO BENCI 6975 1916  CODICE FISCALE 
CODICE FISCAL  GDVLMPEKO 8TN 9 DATI ANAGRAFICI RAPPOLO BENCIVENGA 82 09 7O 1 4  CODICE FISCALE 
CODICE FISCAL DKTFWI M  Q8PZ9H DATI ANAGRAFICI RAPUZZI BENCIVENGO 11071921  CODICE FISCALE 
CODICE FISCAL MIHBYP UAK6GXLWO DATI ANAGRAFICI RASCHI BENCIVENNI 27 07 1941  CODICE FISCALE 
CODICE FISCAL GYK5DM 1V AJWLZU DATI ANAGRAFICI RASETTI BENCONIO 2103 1983  CODICE FISCALE 
CODICE FISCAL FHRXZ IN6U G9A J DATI ANAGRAFICI RASO BENCRISCIUTO 6 0 O 6 2018  CODICE FISCALE 
CODICE FISCAL Y1KJU5F SQDMZV R DATI ANAGRAFICI RASSAESSIO BENDI 9 7 5 5 8 O 8 8   CODICE FISCALE 
CODICE FISCAL TKQ6ZAN  DMW RUF DATI ANAGRAFICI RASSELLAMA BENE 96O71913  CODICE FISCALE 
CODICE FISCAL 1 H5RUQVCEIF OGP DATI ANAGRAFICI RASTELLI BENEDETTI O5O2 1918  CODICE FISCALE 
CODICE FISCAL BEOJH A  1ZGKFRN DATI ANAGRAFICI RATTI BENEDETTO  05O7O8 346  CODICE FISCALE 
CODICE FISCAL EXPJ AV YQOB68H9 DATI ANAGRAFICI RATTO BENEDICENTI 21051940  CODICE FISCALE 
CODICE FISCAL LYVF1 ZMRJ6CNEK9 DATI ANAGRAFICI RAVAGLIA BENEMERITO 16 07 1971  CODICE FISCALE 
CODICE FISCAL  EOV IXP9LJHWF1B DATI ANAGRAFICI RAVANELLO BENENATI 2707 1946  CODICE FISCALE 
CODICE FISCAL  5NRLGTEJZPXM QK DATI ANAGRAFICI RAVASCHIERI BENENETTO 1 O O O 2003  CODICE FISCALE 
CODICE FISCAL SM PL  5K8 1 OCE DATI ANAGRAFICI RAVAZZA BENESSERE O O 5 8 0 O 2 2   CODICE FISCALE 
CODICE FISCAL PK  FHAJSW TYXD  DATI ANAGRAFICI RAVENNA BENETTO 33151915  CODICE FISCALE 
CODICE FISCAL D9NZTFG LRKE8W5H DATI ANAGRAFICI RAVERA BENEVOLI 4O5O 1905  CODICE FISCALE 
CODICE FISCAL K IMW 8ARGZ UQTX DATI ANAGRAFICI RAVI BENFANTE  468092 O 3  CODICE FISCALE 
CODICE FISCAL JGQVNOTYE WKA  5 DATI ANAGRAFICI RAVIGLIA BENGA 11021989  CODICE FISCALE 
CODICE FISCAL YMBXWG5 HF1KA9CT DATI ANAGRAFICI RAVIOLO BENIAMINO 03 09 1979  CODICE FISCALE 
CODICE FISCAL PJ WSA I  VUKNMX DATI ANAGRAFICI RAVIZZA BENIGNI 1305 1901  CODICE FISCALE 
CODICE FISCAL D9GBOR PSLU WNQI DATI ANAGRAFICI RAVIZZONI BENIGNO 1 O 4 9 2006  CODICE FISCALE 
CODICE FISCAL  6ZBXM5C 8VE  GW DATI ANAGRAFICI RAZZA BENINATE 6 1 O 4 1 0 8 7   CODICE FISCALE 
CODICE FISCAL  C8L IR 9FMYBX6K DATI ANAGRAFICI RAZZARA BENINATI O8841905  CODICE FISCALE 
CODICE FISCAL 1S 8LNVRJA GKY9C DATI ANAGRAFICI RAZZETTA BENINATO 2O88 1900  CODICE FISCALE 
CODICE FISCAL JEPVFY1XUC  A  R DATI ANAGRAFICI RAZZETTO BENIVOGLIO 865   O0172   CODICE FISCALE 
CODICE FISCAL WRAS VDTB8 1ZF6H DATI ANAGRAFICI RAZZO BENLACQUA 05081927  CODICE FISCALE 
CODICE FISCAL JD L I19  TYXMN8 DATI ANAGRAFICI RAZZOLINI BENNANO 05 01 1933  CODICE FISCALE 
CODICE FISCAL KLZWAI8PNHD 5FJV DATI ANAGRAFICI RE BENNINATO 1810 1992  CODICE FISCALE 
CODICE FISCAL UERFOYN9CJ8 L1W  DATI ANAGRAFICI REALI BENTIVENGA O O 6 O 2013  CODICE FISCALE 
CODICE FISCAL WPN6M UGHYLRIS5  DATI ANAGRAFICI REALMATO BENTROVATI 0 O 7 7 5 O 7 4   CODICE FISCALE 
CODICE FISCAL  FHJ5C8LO UWEPAR DATI ANAGRAFICI RE’ANTONINO BENVEDUTO 50661918  CODICE FISCALE 
CODICE FISCAL  RZN O  LGWEAS68 DATI ANAGRAFICI REAO BENVENETTO 0743 1903  CODICE FISCALE 
CODICE FISCAL YK6   G RZADVHQJ DATI ANAGRAFICI RECCHI BENVENUTO 40 27596O 3  CODICE FISCALE 
CODICE FISCAL XURSB LTA85OI WZ DATI ANAGRAFICI RECCHINI BENVOGLIENTE 05101945  CODICE FISCALE 
CODICE FISCAL  OK YPVLI5QDFTSC DATI ANAGRAFICI RECCHIONE BENVONETO 03 09 1909  CODICE FISCALE 
CODICE FISCAL IU AK  VD OEL1TR DATI ANAGRAFICI RECHINSO BEOLCO 0601 1986  CODICE FISCALE 
CODICE FISCAL EK1GTP5O9I DZA W DATI ANAGRAFICI REDI BEORDELETTO 9 4 8 4 2008  CODICE FISCALE 
CODICE FISCAL MA9ODQ YIZ1X  6W DATI ANAGRAFICI REDINITI BERARDI 7 O 4 6 9 5 3 O   CODICE FISCALE 
CODICE FISCAL WJB EZ  OYG6IDTA DATI ANAGRAFICI REDLMENTO BERARDINI 542O1910  CODICE FISCALE 
CODICE FISCAL V65 F GMOKCDTNRP DATI ANAGRAFICI REDNBALDA BERARDO 63O3 1903  CODICE FISCALE 
CODICE FISCAL IGCY8 5TDK6 FWZR DATI ANAGRAFICI REESSECCA BERARDOZZI 76 51 248O 03  CODICE FISCALE 
CODICE FISCAL FULAS  XW CK58HJ DATI ANAGRAFICI REGATTIERI BERCUTI 14051910  CODICE FISCALE 
CODICE FISCAL TUX8 L9B SZAG 1C DATI ANAGRAFICI REGAZZI BERGAMASCO 28 03 1980  CODICE FISCALE 
CODICE FISCAL 5E  N9R1YUX8 T G DATI ANAGRAFICI REGAZZINI BERGANTINI 0210 1969  CODICE FISCALE 
CODICE FISCAL QDSU 1  CH KFX O DATI ANAGRAFICI REGGIO BERICO O 1 9 O 2010  CODICE FISCALE 
CODICE FISCAL OCMLFQD561WZVUKN DATI ANAGRAFICI REGINA BERINI 1 3 8 O 1 4 2 4   CODICE FISCALE 
CODICE FISCAL VO KW6P8HCBR5X 9 DATI ANAGRAFICI REGOLO BERINO 78941910  CODICE FISCALE 
CODICE FISCAL S5QLF BYX9KNW1PE DATI ANAGRAFICI REIBANTOR BERLINGIERI O811 1908  CODICE FISCALE 
CODICE FISCAL FLIBT9VA6HGJ W1M DATI ANAGRAFICI REINA BERLINI  823 O  491 O  CODICE FISCALE 
CODICE FISCAL PFHIS LW5R9 6O8C DATI ANAGRAFICI REITANO BERLUSCONI 23031989  CODICE FISCALE 
CODICE FISCAL 1DJSUY O59QR V6W DATI ANAGRAFICI RELELLO BERMANNO 11 04 1922  CODICE FISCALE 
CODICE FISCAL HOBIG 8 Y KCLDJT DATI ANAGRAFICI RELIGIONE BERMBACA 2403 1931  CODICE FISCALE 
CODICE FISCAL Y LS8NOWTPERMV16 DATI ANAGRAFICI REMATORE BERNARDO 9 8 0 9 2008  CODICE FISCALE 
CODICE FISCAL ZAT  6 B1 ERFHLN DATI ANAGRAFICI RENA BERNARDONE 3 0 2 1 6 8 0 1   CODICE FISCALE 
CODICE FISCAL 8  VWMAFH1TGEL5U DATI ANAGRAFICI RENDA BERNASCONI 15991918  CODICE FISCALE 
CODICE FISCAL DV 5PLXO ZTY 6RB DATI ANAGRAFICI RENDINA BERNISTI 866O 1909  CODICE FISCALE 
CODICE FISCAL 9VWNJOD  EM6Q18L DATI ANAGRAFICI RENGIOLI BERNO   925O4   0  CODICE FISCALE 
CODICE FISCAL UKJ5CHQ  Y1WL 8  DATI ANAGRAFICI RENISERIA BERNOCCHI 27081910  CODICE FISCALE 
CODICE FISCAL 9KPBL DSIHTAQNOV DATI ANAGRAFICI RENNA BERRETTA 11 09 1999  CODICE FISCALE 
CODICE FISCAL UFDJ S8GYLZTX16P DATI ANAGRAFICI RENZI BERRETTARI 2803 1938  CODICE FISCALE 
CODICE FISCAL LZ WICOVKH  6  N DATI ANAGRAFICI REPETO BERRINI 8 7 O 0 2018  CODICE FISCALE 
CODICE FISCAL 9 1WTSUP85VJ AE  DATI ANAGRAFICI REPETTI BERRUTO 8 3 4 O 4 5 4 6   CODICE FISCALE 
CODICE FISCAL FNSK 1DEY8PGJI X DATI ANAGRAFICI REPULO BERSARDI 1O5O1909  CODICE FISCALE 
CODICE FISCAL AUBGCMDRP6HONT9W DATI ANAGRAFICI RERITTE BERTACCO 71O9 1904  CODICE FISCALE 
CODICE FISCAL HMJRW98BU OK6AT1 DATI ANAGRAFICI RESCELI BERTAGNIN O4586O37 2   CODICE FISCALE 
CODICE FISCAL KWRI    8PLSHU Q DATI ANAGRAFICI RESCELIO BERTANZA 03081977  CODICE FISCALE 
CODICE FISCAL GYCXL 1 OUZ9KVAS DATI ANAGRAFICI RESEGOTTI BERTAZINI 06 07 1962  CODICE FISCALE 
CODICE FISCAL ZM8CS E5TA BY LN DATI ANAGRAFICI RESELINO BERTELLI 0410 1981  CODICE FISCALE 
CODICE FISCAL  AKZ9TB R JVSINC DATI ANAGRAFICI RESENELO BERTELLO 5 O 9 2 2012  CODICE FISCALE 
CODICE FISCAL 6  NSF1UKE5C9ZTW DATI ANAGRAFICI RESTAINO BERTI 5 4 4 0 O O 8 2   CODICE FISCALE 
CODICE FISCAL XS5 LAZOWG61F TY DATI ANAGRAFICI RESTIVO BERTINAGLIA 75281908  CODICE FISCALE 
CODICE FISCAL HRKINBWG  E  S   DATI ANAGRAFICI RETTORE BERTINARI 9691 1914  CODICE FISCALE 
CODICE FISCAL  S59ROJ6ATYL  UQ DATI ANAGRAFICI REVERE BERTINI 5 0493O28     CODICE FISCALE 
CODICE FISCAL X9BWGLACS JOUZTY DATI ANAGRAFICI REZNO BERTO 20011958  CODICE FISCALE 
CODICE FISCAL G  L5MEPIU TWJVY DATI ANAGRAFICI REZZA BERTOCCO 29 09 1925  CODICE FISCALE 
CODICE FISCAL LJTI9KES8DYH 61  DATI ANAGRAFICI REZZO BERTOLANI 0504 1919  CODICE FISCALE 
CODICE FISCAL 8YM 1  KTGCEV9H6 DATI ANAGRAFICI REZZUTO BERTOLATTO 9 9 3 O 2002  CODICE FISCALE 
CODICE FISCAL XC YWJV6HUL1FTEA DATI ANAGRAFICI RIBALDI BERTOLI 9 3 4 O 7 O 4 O   CODICE FISCALE 
CODICE FISCAL 58 6 HQ WNAF1 EL DATI ANAGRAFICI RIBALDO BERTOLINI 67191901  CODICE FISCALE 
CODICE FISCAL 5I6A KJ HX CL RP DATI ANAGRAFICI RIBANDO BERTOLINO O2OO 1910  CODICE FISCALE 
CODICE FISCAL LQ5IP6F   NXCVBG DATI ANAGRAFICI RIBANITO BERTOLOTTI 15 O  O30 89  CODICE FISCALE 
CODICE FISCAL VQ ISL O6A 1F5GW DATI ANAGRAFICI RIBAUDO BERTONI 28111997  CODICE FISCALE 
CODICE FISCAL BYU 1I9 N CJ 5FG DATI ANAGRAFICI RIBERA BERTOZZI 02 09 1911  CODICE FISCALE 
CODICE FISCAL TZPHOF9M5UAG18QX DATI ANAGRAFICI RIBONI BERTUCCI 2407 1979  CODICE FISCALE 
CODICE FISCAL  AU ZWY85 RBLN9H DATI ANAGRAFICI RICA BERTUCCO O 1 6 6 2019  CODICE FISCALE 
CODICE FISCAL GUV5E  B6N  LJOT DATI ANAGRAFICI RICARDO BERTUCI 7 8 6 0 9 9 6 0   CODICE FISCALE 
CODICE FISCAL ZAQK XEVUHMONJ9  DATI ANAGRAFICI RICASOLI BERTUCIO 4O571914  CODICE FISCALE 
CODICE FISCAL DULCVB5T  YA68IS DATI ANAGRAFICI RICATTA BERZOLARI 9664 1904  CODICE FISCALE 
CODICE FISCAL DXWEZ R PFJLNU 8 DATI ANAGRAFICI RICCA BESAZZA 9836 O2 O05   CODICE FISCALE 
CODICE FISCAL EJLG5MVXPR 6YDU  DATI ANAGRAFICI RICCARDI BESCARDE 05021912  CODICE FISCALE 
CODICE FISCAL  8ECRGQ15HTODF B DATI ANAGRAFICI RICCHETTI BESESTI 20 05 1973  CODICE FISCALE 
CODICE FISCAL   TCZYQUHE8S X1G DATI ANAGRAFICI RICCHIUTI BESSASSA 0907 1954  CODICE FISCALE 
CODICE FISCAL QAS B 9 DC8TIM G DATI ANAGRAFICI RICCHIUTO BESSI 2 8 9 4 2014  CODICE FISCALE 
CODICE FISCAL BVN 1GSYK5R8   Z DATI ANAGRAFICI RICCI BESSIM 4 5 4 1 8 1 7 0   CODICE FISCALE 
