CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
ICE FISCALE CT R   9DPAZFXWO , ATI ANAGRAFICI MERIANTE OLEMA 0409 1999 F <START:City> ALTAVALLE <END>  B Z CODICE FISCALE 
ICE FISCALE Y1LFW GUPA CNTJX , ATI ANAGRAFICI MERIGGI OLINA O 6 5 O 2016 M <START:City> ALTAVILLA IRPINA <END>  B S CODICE FISCALE 
ICE FISCALE JSVXQD5 FBCYIM 9 , ATI ANAGRAFICI MERISI OLMITELLA 7 O 5 7 9 O 4 2  F <START:City> ALTAVILLA MILICIA <END>  B R CODICE FISCALE 
ICE FISCALE HI6WQA1TBRLN8XS5 , ATI ANAGRAFICI MERLIMO ONELDE 80511907 F <START:City> ALTAVILLA MONFERRATO <END>  C A CODICE FISCALE 
ICE FISCALE QBDTSFMO1Y IRHL  , ATI ANAGRAFICI MERLINO ONORATINA 4038 1912 M <START:City> ALTAVILLA SILENTINA <END>  C L CODICE FISCALE 
ICE FISCALE NOP R FMHC W5 GV , ATI ANAGRAFICI MERLLANTE ORELIA 75  3 62840 M <START:City> ALTAVILLA VICENTINA <END>  C B CODICE FISCALE 
ICE FISCALE A T51MZQ PBC X9  , ATI ANAGRAFICI MERLO OLEME 03051996 F <START:City> ALTIDONA <END>  C I CODICE FISCALE 
ICE FISCALE  DS6ZWJ QC8XTIRK , ATI ANAGRAFICI MERLUZZO OLINDA 08 11 1939 M <START:City> ALTILIA <END>  C E CODICE FISCALE 
ICE FISCALE CHRS  VTYMK QE N , ATI ANAGRAFICI MERULA OLVEA 2807 1946 M <START:City> ALTINO <END>  C T CODICE FISCALE 
ICE FISCALE  IXAYZ BR JDNE 5 , ATI ANAGRAFICI MERULLA ONELIA 1 0 6 9 2003 F <START:City> ALTISSIMO <END>  C Z CODICE FISCALE 
ICE FISCALE SOQ96BW1HK YVUDX , ATI ANAGRAFICI MESCARELLO ONORIA 8 8 6 8 9 6 2 0  M <START:City> ALTIVOLE <END>  C H CODICE FISCALE 
ICE FISCALE KD5ZBSJ AFO8 LHV , ATI ANAGRAFICI MESCHIERI ORELIANA 520O1916 F <START:City> ALTO <END>  C O CODICE FISCALE 
ICE FISCALE BPSH  LUKCJM 5RN , ATI ANAGRAFICI MESCHINELLI OLENIA 1O49 1903 F <START:City> ALTO RENO TERME <END>  C S CODICE FISCALE 
ICE FISCALE IVXQG69BPZ UELWC , ATI ANAGRAFICI MESCHINO OLINTA 06 92O54O 8   M <START:City> ALTOFONTE <END>  C R CODICE FISCALE 
ICE FISCALE 5NWKF CILRVU8OYB , ATI ANAGRAFICI MESIDEA OLVIA 10021924 M <START:City> ALTOMONTE <END>  K R CODICE FISCALE 
ICE FISCALE LN1MG R8H VAKYBF , ATI ANAGRAFICI MESLININO ONELLA 28 08 1964 M <START:City> ALTOPASCIO <END>  C N CODICE FISCALE 
ICE FISCALE SH J OZF  Q15WVY , ATI ANAGRAFICI MESSANO ONORINA 1108 1992 M <START:City> ALTO SERMENZA <END>  E N CODICE FISCALE 
ICE FISCALE MGNWPZI TQY FO   , ATI ANAGRAFICI MESSERI ORELLA 8 O 9 O 2015 F <START:City> ALVIANO <END>  F M CODICE FISCALE 
ICE FISCALE ZAM NKLX6 HSGRD  , ATI ANAGRAFICI MESSI OLENA 0 0 0 3 2 4 0 O  M <START:City> ALVIGNANO <END>  F E CODICE FISCALE 
ICE FISCALE J8 XKHN Q ZEMGBR , ATI ANAGRAFICI MESSIALO OLIS 7OO51917 F <START:City> ALVITO <END>  F I CODICE FISCALE 
ICE FISCALE 1CO 9I G6PXW KEQ , ATI ANAGRAFICI MESSIMEO OLVIDA 0O07 1917 F <START:City> ALZANO LOMBARDO <END>  F G CODICE FISCALE 
ICE FISCALE MFY IZB5OXE  NVG , ATI ANAGRAFICI MESSINA ONERIA 42  906537 O  M <START:City> ALZANO SCRIVIA <END>  F C CODICE FISCALE 
ICE FISCALE L5V  XU ASFOHT9  , ATI ANAGRAFICI MESSINEO ONORINDA 16011985 F <START:City> ALZATE BRIANZA <END>  F R CODICE FISCALE 
ICE FISCALE   IFK9ZSR BY8NCT , ATI ANAGRAFICI MESSINO ORELMA 02 05 1950 F <START:City> AMALFI <END>  G E CODICE FISCALE 
ICE FISCALE K DUFTP98 1R  JO , ATI ANAGRAFICI MESTACCHIO OLERIA 2401 1992 F <START:City> AMANDOLA <END>  G O CODICE FISCALE 
ICE FISCALE Q5BJKU TW PXZNHO , ATI ANAGRAFICI MESTICA OLISIA 6 8 6 O 2012 F <START:City> AMANTEA <END>  G R CODICE FISCALE 
ICE FISCALE YMLI89UQOPNZ WS  , ATI ANAGRAFICI MESTOLA OLVIDE O 7 O 3 1 8 5 3  F <START:City> AMARO <END>  I M CODICE FISCALE 
ICE FISCALE ZAT RM WHSG6 BDV , ATI ANAGRAFICI METALLO ONES 09O11903 M <START:City> AMARONI <END>  I S CODICE FISCALE 
ICE FISCALE X AEPVGD8CFRZYMO , ATI ANAGRAFICI METE ONORIS 97O5 1902 M <START:City> AMASENO <END>  S P CODICE FISCALE 
ICE FISCALE MU 1BEOZ KVCRDXF , ATI ANAGRAFICI METELLO ORENA  1482O06 5   F <START:City> AMATO <END>  A Q CODICE FISCALE 
ICE FISCALE D OFA T5NK 9MUYZ , ATI ANAGRAFICI METETELLE OLES 01061978 F <START:City> AMATRICE <END>  L T CODICE FISCALE 
ICE FISCALE TK RDYZ A8BQ1EC  , ATI ANAGRAFICI METINO OLITA 30 05 1958 F <START:City> AMBIVERE <END>  L E CODICE FISCALE 
ICE FISCALE YO6QI1EV WP KG8C , ATI ANAGRAFICI METTEFOGO OLVINA 1502 1907 F <START:City> AMBLAR-DON <END>  L C CODICE FISCALE 
ICE FISCALE DBRTX6C YS1QPW 8 , ATI ANAGRAFICI METTI ONESIMA 0 5 9 O 2000 M <START:City> AMEGLIA <END>  L I CODICE FISCALE 
ICE FISCALE EYF VJI SKG9 68P , ATI ANAGRAFICI METTIFUOCO OPELIA 5 3 5 1 O 4 4 1  M <START:City> AMELIA <END>  L O CODICE FISCALE 
ICE FISCALE A  M6YWNXP B J1F , ATI ANAGRAFICI MEUCCI ORENTINA 62051912 M <START:City> AMENDOLARA <END>  L U CODICE FISCALE 
ICE FISCALE LSGFICKH W RNVY1 , ATI ANAGRAFICI MEYNA OLESIA 3566 1909 F <START:City> AMENO <END>  M C CODICE FISCALE 
ICE FISCALE  6KZ AW 1QTJOBSG , ATI ANAGRAFICI MEZZABARBA OLITE   0O 653 8791 F <START:City> AMOROSI <END>  M N CODICE FISCALE 
ICE FISCALE UFZQ5XPEJ9L CHKA , ATI ANAGRAFICI MEZZABOTTA OMARA 25041939 F <START:City> AMPEZZO <END>  M S CODICE FISCALE 
ICE FISCALE FY5B GTQHDA XNK8 , ATI ANAGRAFICI MEZZACAPO ONESINA 20 09 1980 M <START:City> ANACAPRI <END>  M T CODICE FISCALE 
ICE FISCALE KNJX GP6EFDW15 Q , ATI ANAGRAFICI MEZZACAPPA OPIMIA 2006 1973 M <START:City> ANAGNI <END>  V S CODICE FISCALE 
ICE FISCALE XOPBTHZKF WUDAGL , ATI ANAGRAFICI MEZZACASA ORENZA 6 6 3 2 2003 M <START:City> ANCARANO <END>  M E CODICE FISCALE 
ICE FISCALE JCSWNUTHY518 F   , ATI ANAGRAFICI MEZZACONTI OLETTA 8 5 2 5 9 5 O 9  F <START:City> ANCONA <END>  M I CODICE FISCALE 
ICE FISCALE N156QMIPBHJYARZ9 , ATI ANAGRAFICI MEZZADONNA OLIVA 26O21906 M <START:City> ANDALI <END>  M O CODICE FISCALE 
ICE FISCALE R AZ VT1EDCLG9KU , ATI ANAGRAFICI MEZZADRELLI OMAS 3918 1904 F <START:City> ANDALO <END>  M B CODICE FISCALE 
ICE FISCALE B RLVC8IEWNHMD5  , ATI ANAGRAFICI MEZZADROLI ONESTA 28 31 0  649  M <START:City> ANDALO VALTELLINO <END>  N A CODICE FISCALE 
ICE FISCALE I69VM UOPQ  JDTR , ATI ANAGRAFICI MEZZAFANTI OPRANDINA 01041952 F <START:City> ANDEZENO <END>  N O CODICE FISCALE 
ICE FISCALE E W N DLUISHYXGQ , ATI ANAGRAFICI MEZZALAMA ORENZINA 26 09 1970 M <START:City> ANDORA <END>  N U CODICE FISCALE 
ICE FISCALE R8 AN1TWS 5LYIU  , ATI ANAGRAFICI MEZZALUNA OLFA 1611 1900 F <START:City> ANDORNO MICCA <END>  O G CODICE FISCALE 
ICE FISCALE S1 O Y98DL IHGBE , ATI ANAGRAFICI MEZZAMICI OLIVANA O 8 3 7 2010 F <START:City> ANDRANO <END>  O T CODICE FISCALE 
ICE FISCALE ZCMR VEPHY F 1B  , ATI ANAGRAFICI MEZZANINI OMBELINA O 5 6 1 O 0 7 8  F <START:City> ANDRATE <END>  O R CODICE FISCALE 
ICE FISCALE  UR DZI YV NMF1G , ATI ANAGRAFICI MEZZANOTTE ONESTINA 8O181903 M <START:City> ANDREIS <END>  P D CODICE FISCALE 
ICE FISCALE C AHJGEWPZ ISLQU , ATI ANAGRAFICI MEZZARI ORA 8760 1917 F <START:City> ANDRETTA <END>  P A CODICE FISCALE 
ICE FISCALE FTM6G HQVO P1I58 , ATI ANAGRAFICI MEZZASALMA ORES 0 948275 3O 1 F <START:City> ANDRIA <END>  P R CODICE FISCALE 
ICE FISCALE I ZE6 O B9GYLFK  , ATI ANAGRAFICI MEZZATESTA OLFEA 02061951 F <START:City> ANDRIANO <END>  P V CODICE FISCALE 
ICE FISCALE 8N65M JVPEG9QO   , ATI ANAGRAFICI MEZZAVACCA OLIVANDA 30 02 1996 F <START:City> ANELA <END>  P G CODICE FISCALE 
ICE FISCALE SCHI5L X6Y9U D8O , ATI ANAGRAFICI MEZZOPRETE OMBELLINA 1909 1963 F <START:City> ANFO <END>  P U CODICE FISCALE 
ICE FISCALE PGZBQ9FJI 56 T 8 , ATI ANAGRAFICI MIAMFRINATO ONETA 6 4 8 8 2016 M <START:City> ANGERA <END>  P E CODICE FISCALE 
ICE FISCALE YFUHLWE5MRIOZ  8 , ATI ANAGRAFICI MIANO ORALDA 0 9 6 O 0 7 3 5  F <START:City> ANGHIARI <END>  P C CODICE FISCALE 
ICE FISCALE C1BIYRJ W KE HXO , ATI ANAGRAFICI MICARO ORESTA 35121903 F <START:City> ANGIARI <END>  P I CODICE FISCALE 
ICE FISCALE A5 INT6GQ RLWC 1 , ATI ANAGRAFICI MICCHINI OLFERINA 7452 1917 M <START:City> ANGOLO TERME <END>  P T CODICE FISCALE 
ICE FISCALE ICBLT MHRA1WGZSN , ATI ANAGRAFICI MICCI OLIVANNA 163250 879O  M <START:City> ANGRI <END>  P N CODICE FISCALE 
ICE FISCALE R XH LSKQW5BPU9  , ATI ANAGRAFICI MICCIA OMBRA 22111975 M <START:City> ANGROGNA <END>  P Z CODICE FISCALE 
ICE FISCALE   M59RZDJ B SUFK , ATI ANAGRAFICI MICELE ONETTA 13 08 1900 M <START:City> ANGUILLARA SABAZIA <END>  P O CODICE FISCALE 
ICE FISCALE  V  61FGRC BOL89 , ATI ANAGRAFICI MICELI ORANA 0706 1919 M <START:City> ANGUILLARA VENETA <END>  R G CODICE FISCALE 
CODICE FISCAL SEAXM8RPVGH5Z  B DATI ANAGRAFICI MICHAELS ORESTELLA 4 O 1 7 2013  CODICE FISCALE 
CODICE FISCAL   LMWQO5UK6HS1E  DATI ANAGRAFICI MICHALICH OLFINA 1 1 4 1 4 7 1 3   CODICE FISCALE 
CODICE FISCAL  SORL51   N6GKJM DATI ANAGRAFICI MICHELARCANGELO OLIVELLA 318O1912  CODICE FISCALE 
CODICE FISCAL   HSC1YFREDBTXJ8 DATI ANAGRAFICI MICHELE OMBRETTA 0557 1907  CODICE FISCALE 
CODICE FISCAL 68HQI5KPXUWN9 O  DATI ANAGRAFICI MICHELO ONIA   5 2O683 71   CODICE FISCALE 
CODICE FISCAL 6KMI S8UPHVWBCFZ DATI ANAGRAFICI MICHETTI ORANDA 05071968  CODICE FISCALE 
CODICE FISCAL  TC9QZ BK JX5AL6 DATI ANAGRAFICI MICI ORESTILDE 05 11 1975  CODICE FISCALE 
CODICE FISCAL 6BUYL KSGW19Z OP DATI ANAGRAFICI MICIO OLGA 1808 1998  CODICE FISCALE 
CODICE FISCAL POW 6ZX  VQISJH  DATI ANAGRAFICI MICIOTTO OLIVENZA 3 2 1 8 2019  CODICE FISCALE 
CODICE FISCAL TCRKI89BNSFZXQP  DATI ANAGRAFICI MICO OMEGA 4 O 4 1 1 0 4 0   CODICE FISCALE 
CODICE FISCAL KHM9WTE1QDSNBUGJ DATI ANAGRAFICI MICOLA ONICE O3141904  CODICE FISCALE 
CODICE FISCAL ZSVC9ITXRLGB1  W DATI ANAGRAFICI MICONE ORANIA 8936 1908  CODICE FISCALE 
CODICE FISCAL VH GSP6LD ZT19WE DATI ANAGRAFICI MICSI ORESTILLA  9 425O3O7 0  CODICE FISCALE 
CODICE FISCAL  EY8HT VDLJXQ UM DATI ANAGRAFICI MIDDIONE OLGHETTA 02091971  CODICE FISCALE 
CODICE FISCAL ZE QCKIWNUPVTM   DATI ANAGRAFICI MIDOLLA OLIVERA 18 04 1946  CODICE FISCALE 
CODICE FISCAL ZHKXTCF N O69PJU DATI ANAGRAFICI MIELE OMELIA 3009 1935  CODICE FISCALE 
CODICE FISCAL  AW VO89PTIC EFS DATI ANAGRAFICI MIERULA ONIDA 4 4 7 1 2014  CODICE FISCALE 
CODICE FISCAL RX T5DUSCZH8YPM  DATI ANAGRAFICI MIETITORI ORANTA 4 6 O 1 6 1 O 8   CODICE FISCALE 
CODICE FISCAL F 6GUBDIY8OPXVHK DATI ANAGRAFICI MIGILIORE ORESTINA 8O161919  CODICE FISCALE 
CODICE FISCAL AL8H 9F1XR CVGZE DATI ANAGRAFICI MIGLETTO OLGHINA O298 1916  CODICE FISCALE 
CODICE FISCAL ZHVNOCI M  JT6KA DATI ANAGRAFICI MIGLIACCIO OLIVERIA 8O97  O 61 23  CODICE FISCALE 
CODICE FISCAL Q8JG ND6E91ILC Z DATI ANAGRAFICI MIGLIANO OMERA 13061926  CODICE FISCALE 
CODICE FISCAL NU ATFZGBK  CQXH DATI ANAGRAFICI MIGLIARDI ONIDE 21 08 1957  CODICE FISCALE 
CODICE FISCAL MCGJVS6OAI LKY Z DATI ANAGRAFICI MIGLIARI ORGA 2002 1972  CODICE FISCALE 
CODICE FISCAL D 9NQSI5R8   OJX DATI ANAGRAFICI MIGLIERINI ORETA 9 O O 6 2006  CODICE FISCALE 
CODICE FISCAL  PYLBC5VN USIGRQ DATI ANAGRAFICI MIGLIO OLIA O 8 5 O 4 5 8 8   CODICE FISCALE 
CODICE FISCAL 6SFM  PUR8GCD KV DATI ANAGRAFICI MIGLIORE OLIVETA 27161915  CODICE FISCALE 
CODICE FISCAL 9YFL MA HZSVD 8E DATI ANAGRAFICI MIGNATTO OMERINA 2885 1903  CODICE FISCALE 
CODICE FISCAL UX TIL 8DWCM51 S DATI ANAGRAFICI MIGNECO ONIDIA  O25O   813  CODICE FISCALE 
CODICE FISCAL UEGBNS9RCI8 QVXA DATI ANAGRAFICI MIGNONI ORAZIA 21111965  CODICE FISCALE 
CODICE FISCAL RMQ6UWB 5A  D XI DATI ANAGRAFICI MIGNOSA ORETTA 07 08 1938  CODICE FISCALE 
CODICE FISCAL V  XSTLMU WKIZA5 DATI ANAGRAFICI MIHAIL OLIADE 0606 1903  CODICE FISCALE 
CODICE FISCAL MC GTKS9 Z6VYU1  DATI ANAGRAFICI MILACCIA OLIVETTA 4 8 2 2 2017  CODICE FISCALE 
CODICE FISCAL EMGRSVQFY  18DAU DATI ANAGRAFICI MILAMO OMNIA 4 2 2 6 3 0 O 9   CODICE FISCALE 
CODICE FISCAL SP YGVEWZ KTRH D DATI ANAGRAFICI MILANA ONILDA 31OO1901  CODICE FISCALE 
CODICE FISCAL C R1HYKN6G J 9 S DATI ANAGRAFICI MILANEST ORAZINA 373O 1911  CODICE FISCALE 
CODICE FISCAL  JVBICZQD YL 95E DATI ANAGRAFICI MILANI ORFA 97O506   13  CODICE FISCALE 
CODICE FISCAL ZCKS U NJRW M8VQ DATI ANAGRAFICI MILANO OLIANA 03071914  CODICE FISCALE 
CODICE FISCAL KBRL C F9 JPYNZ  DATI ANAGRAFICI MILARRO OLIVIA 02 06 1994  CODICE FISCALE 
CODICE FISCAL TGX9 V CN LJQASZ DATI ANAGRAFICI MILAZSO ONDA 1105 1949  CODICE FISCALE 
CODICE FISCAL  UPXM A1S YNTFCI DATI ANAGRAFICI MILAZZA ONILDE 2 0 6 O 2012  CODICE FISCALE 
CODICE FISCAL  Q6GA SXYR9N H1D DATI ANAGRAFICI MILAZZO ORCHIDEA 4 9 8 0 1 O 0 6   CODICE FISCALE 
CODICE FISCAL P R8WVHZU6O9L JM DATI ANAGRAFICI MILETELLI ORFALIA 57841905  CODICE FISCALE 
CODICE FISCAL EY9ZVNR1CLJ KPSG DATI ANAGRAFICI MILIBELLO OLIANNA 0961 1903  CODICE FISCALE 
CODICE FISCAL ITJVY KBU5S ODMQ DATI ANAGRAFICI MILIGORE OLIVIANA   80 5942 376  CODICE FISCALE 
CODICE FISCAL CLR1KDHT SJW IF5 DATI ANAGRAFICI MILIOTO ONDELLA 05051972  CODICE FISCALE 
CODICE FISCAL 1AC 8NXZVSOUGIBT DATI ANAGRAFICI MILITANO ONILIA 23 10 1985  CODICE FISCALE 
CODICE FISCAL  UR1FBZ L Y5 9AD DATI ANAGRAFICI MILITARE ORDALIA 0811 1958  CODICE FISCALE 
CODICE FISCAL 1HUMRJ T L96 NFI DATI ANAGRAFICI MILITE ORFEA 7 0 7 2 2019  CODICE FISCALE 
CODICE FISCAL  LIC6WSGR1M HB5V DATI ANAGRAFICI MILITELLO OLIBA 7 7 8 O 3 9 5 2   CODICE FISCALE 
CODICE FISCAL ODU A9 W JRPMZ8H DATI ANAGRAFICI MILITTH OLIVIERA 19981908  CODICE FISCALE 
CODICE FISCAL UXVOPM N96DJ5 YF DATI ANAGRAFICI MILLANNI ONDESIA 4971 1909  CODICE FISCALE 
CODICE FISCAL GK 5WC ED8BOHXS  DATI ANAGRAFICI MILLANTO ONILLA 3 1 94 O 705  CODICE FISCALE 
CODICE FISCAL  MDFA5EJ WV ULP8 DATI ANAGRAFICI MILLARIO ORDANA 18081998  CODICE FISCALE 
CODICE FISCAL WA  KS J 9CERDQH DATI ANAGRAFICI MILLE ORFELIA 15 07 1912  CODICE FISCALE 
CODICE FISCAL  HW V 5CDRAELG6S DATI ANAGRAFICI MILLEFIORINI OLIDA 1711 1991  CODICE FISCALE 
CODICE FISCAL NGQ  X1PS6YBO9FD DATI ANAGRAFICI MILLELIRE OLIVIETTA 7 8 5 O 2016  CODICE FISCALE 
CODICE FISCAL MG 1 JIALHP O5SX DATI ANAGRAFICI MILLER ONDINA 8 9 5 0 5 8 4 4   CODICE FISCALE 
CODICE FISCAL  LR9TSUMFG IE1KX DATI ANAGRAFICI MILLETARI ONIVES 32921900  CODICE FISCALE 
CODICE FISCAL 6KO P   BW YRSDH DATI ANAGRAFICI MILLIONI ORDELIA O342 1905  CODICE FISCALE 
CODICE FISCAL 6LZNRHVEIW O9S P DATI ANAGRAFICI MILLOMINI ORFELINA 4O823 1 6 O  CODICE FISCALE 
CODICE FISCAL MLTDP 8WH5SNREAO DATI ANAGRAFICI MILOME OLIDE 19101953  CODICE FISCALE 
CODICE FISCAL TMEL U1SHFPAJCYW DATI ANAGRAFICI MILONE OLIVINA 11 11 1925  CODICE FISCALE 
CODICE FISCAL N L9Q  GREBTJ1 Z DATI ANAGRAFICI MILOZNO ONEDA 0905 1946  CODICE FISCALE 
CODICE FISCAL 1FZPT YN6WD9VKLB DATI ANAGRAFICI MILUSTO ONOFRIA 3 7 O 6 2001  CODICE FISCALE 
CODICE FISCAL R85G BCZQ9XE6FPV DATI ANAGRAFICI MILUTINOVICH OREA 9 4 9 2 5 O 0 3   CODICE FISCALE 
CODICE FISCAL UFP5EWQYI 1ZSN6T DATI ANAGRAFICI MILZA ORFELLA 90591911  CODICE FISCALE 
CODICE FISCAL IOALPYHMQ V8 NX6 DATI ANAGRAFICI MINCHETTO OLIDIA 8348 1900  CODICE FISCALE 
CODICE FISCAL EBYJ P6CFHN81  Z DATI ANAGRAFICI MINCHI OLMA  O82 O7  4590  CODICE FISCALE 
CODICE FISCAL U B65TDI VM9EO R DATI ANAGRAFICI MINCIOTTI ONEGA 12101934  CODICE FISCALE 
CODICE FISCAL  RUT M9XLQOIV GZ DATI ANAGRAFICI MINELLI ONOFRINA 18 07 1978  CODICE FISCALE 
CODICE FISCAL WB  68DNL CJAZEU DATI ANAGRAFICI MINEO OREANA 1311 1907  CODICE FISCALE 
CODICE FISCAL V8  X1 TPRLWSJ5K DATI ANAGRAFICI MINESTRA ORFEMIA 5 0 2 6 2004  CODICE FISCALE 
CODICE FISCAL  IEHL K1JD9Z8OYX DATI ANAGRAFICI MINESTRINA OLIEDE 2 1 9 6 3 5 5 7   CODICE FISCALE 
CODICE FISCAL  P V QUY INSJGFL DATI ANAGRAFICI MINETTI OLMER 62051917  CODICE FISCALE 
CODICE FISCAL   KZA OFEMP 1HD6 DATI ANAGRAFICI MINETTO ONEGLIA 901O 1913  CODICE FISCALE 
CODICE FISCAL 9CK8T D HOIWM  Z DATI ANAGRAFICI MINGHI ONORA  5617438 0O   CODICE FISCALE 
CODICE FISCAL MKWRHABCPOD165Z  DATI ANAGRAFICI MINGO OREIDE 04071904  CODICE FISCALE 
CODICE FISCAL  Y Z9 1BES CFQ6R DATI ANAGRAFICI MINI ORFILIA 27 01 1975  CODICE FISCALE 
CODICE FISCAL N1VBIPDGOJ QFC Z DATI ANAGRAFICI MINIATORI OLIETTA 1403 1954  CODICE FISCALE 
CODICE FISCAL ZU5W  FPNJH  XLC DATI ANAGRAFICI MINICHILLO OLMERINA 4 4 1 6 2014  CODICE FISCALE 
CODICE FISCAL PF1GYAK 9JHMXDC  DATI ANAGRAFICI MINICO ONEIDA 9 O 9 O 6 2 1 3   CODICE FISCALE 
CODICE FISCAL  RJD9IW  Q5KP 16 DATI ANAGRAFICI MINIMI ONORABILE 25671901  CODICE FISCALE 
CODICE FISCAL R1  PAGN TD KM 5 DATI ANAGRAFICI MINIO OREDANA 5O30 1911  CODICE FISCALE 
CODICE FISCAL Q  S6OFGJWVP  ZU DATI ANAGRAFICI MINISCALCHI ORFILLA 518  03794 6O  CODICE FISCALE 
CODICE FISCAL L ECTSGW6 8H P I DATI ANAGRAFICI MINISTORI OLIMPIA 07111958  CODICE FISCALE 
CODICE FISCAL VTEKULG 1IC DF6Q DATI ANAGRAFICI MINNA OLMINA 02 08 1924  CODICE FISCALE 
CODICE FISCAL HWBG  MUOZQJXVR9 DATI ANAGRAFICI MINNECI ONELDA 0610 1986  CODICE FISCALE 
CODICE FISCAL CDM6HQKG TSF A9  DATI ANAGRAFICI MINNELLA ONORATA O 3 1 3 2004  CODICE FISCALE 
CODICE FISCAL EAPZ5F  BJTM6YGK DATI ANAGRAFICI MINO OREGLIA O 4 3 5 O 9 2 O   CODICE FISCALE 
CODICE FISCAL 5DI SL9KCO1QMATB DATI ANAGRAFICI MINOCCHI ORFINA O1601905  CODICE FISCALE 
CODICE FISCAL O QXJ1 SZ HWR8KN DATI ANAGRAFICI MINOLETTI ORGILLA 5574 1913  CODICE FISCALE 
CODICE FISCAL YZRT 58A91WD 6X  DATI ANAGRAFICI MINORI ORIETA 9O 73  O0 1  CODICE FISCALE 
CODICE FISCAL QC8ARI51M9P E 6K DATI ANAGRAFICI MINUCCI ORMA 24071993  CODICE FISCALE 
CODICE FISCAL SLXUO5BD CQ8NFGZ DATI ANAGRAFICI MINUNNI ORSINA 22 03 1942  CODICE FISCALE 
CODICE FISCAL TA F CQJPVL   KN DATI ANAGRAFICI MINUTELLI ORVIETA 1510 1906  CODICE FISCALE 
CODICE FISCAL 69 CY MSWJ8U FTP DATI ANAGRAFICI MINUTILLO OSLAVIA 3 2 9 5 2003  CODICE FISCALE 
CODICE FISCAL  QFHB16E AYDXUNG DATI ANAGRAFICI MINUTO ORIA 9 O 2 O 5 0 0 8   CODICE FISCALE 
CODICE FISCAL  WREVJTSM Y81L   DATI ANAGRAFICI MIOLA ORIETTA 715O1901  CODICE FISCALE 
CODICE FISCAL 5BQX  VU STEGM Y DATI ANAGRAFICI MIONE ORMANNA 3164 1914  CODICE FISCALE 
CODICE FISCAL XRUBO68T NWZ 5JH DATI ANAGRAFICI MIONKA ORSOLA  405  9738O  CODICE FISCALE 
CODICE FISCAL   D EUNH FI G1RV DATI ANAGRAFICI MIRABELLA ORVIETTA 27011960  CODICE FISCALE 
CODICE FISCAL LDCN6HJAEX BPT 9 DATI ANAGRAFICI MIRABELLO OSMA 21 10 1956  CODICE FISCALE 
CODICE FISCAL FI T6 PMA8ZCGRWN DATI ANAGRAFICI MIRABILE ORIALLA 2404 1921  CODICE FISCALE 
CODICE FISCAL 6XTUZFW E JO5ACL DATI ANAGRAFICI MIRALDI ORIFIAMMA 9 5 1 2 2015  CODICE FISCALE 
CODICE FISCAL VW1K5TQ 8HNAIEYM DATI ANAGRAFICI MIRALI ORMEA O 1 6 5 9 4 3 5   CODICE FISCALE 
CODICE FISCAL VI 5BY  EUONK C8 DATI ANAGRAFICI MIRALLEGRO ORSOLETTA 172O1904  CODICE FISCALE 
CODICE FISCAL 1 TZ PY 6 BMQNDU DATI ANAGRAFICI MIRANGIUSO ORVILLA 9626 1909  CODICE FISCALE 
CODICE FISCAL WP81B9NX6TIS5GY  DATI ANAGRAFICI MIRANTI OSMANA 8 5OO 927  1  CODICE FISCALE 
CODICE FISCAL LZ PYGI ESK6J CO DATI ANAGRAFICI MIRENOLA ORIANA 30081978  CODICE FISCALE 
CODICE FISCAL IJ  X6EDR8U1M QB DATI ANAGRAFICI MIRISOLI ORIGA 12 01 1995  CODICE FISCALE 
CODICE FISCAL U 1  TF5KNQ ZIJC DATI ANAGRAFICI MIRNIDIANO ORMELIA 0704 1923  CODICE FISCALE 
CODICE FISCAL CS D8V LAUF9GTHN DATI ANAGRAFICI MIRRA ORSOLINA O O 9 2 2013  CODICE FISCALE 
CODICE FISCAL T8Z9OUXJ1CYBAD G DATI ANAGRAFICI MIRRITELLI ORZOLA 7 O O O 3 1 2 6   CODICE FISCALE 
CODICE FISCAL BMKA WCN  9GUXJ  DATI ANAGRAFICI MIRTO OSMANNA 67O31901  CODICE FISCALE 
CODICE FISCAL 8N 5 EKYTP9 ISXJ DATI ANAGRAFICI MISALA ORIANDA 3240 1914  CODICE FISCALE 
CODICE FISCAL C DVMYQ X1 BW RI DATI ANAGRAFICI MISATTA ORIGLIA  O108  3 457   CODICE FISCALE 
CODICE FISCAL LOC9JVZ Q8MX IWF DATI ANAGRAFICI MISEALE ORMELLA 18061964  CODICE FISCALE 
CODICE FISCAL QYK  BZVT8PMSDA  DATI ANAGRAFICI MISERERE ORSOLINDA 15 05 1954  CODICE FISCALE 
CODICE FISCAL  6AQCK5HYI RFGLW DATI ANAGRAFICI MISIMINA OSANA 0911 1918  CODICE FISCALE 
CODICE FISCAL 9ESD 1TL K6RUXP5 DATI ANAGRAFICI MISINONILE OSMELIA 0 0 5 9 2015  CODICE FISCALE 
CODICE FISCAL RNWB IY6TH A 8E1 DATI ANAGRAFICI MISITO ORIANNA 5 O O 0 1 2 O 3   CODICE FISCALE 
CODICE FISCAL OQ 9UICZ RBNM6LK DATI ANAGRAFICI MISS ORILIA 9O851918  CODICE FISCALE 
